| Economy | MAURITANIA |
| --- | --- |
| Economy - overview: | Mauritania's economy is dominated by natural resources and agriculture. Half the population still depends on agriculture and livestock for a livelihood, even though many nomads and subsistence farmers were forced into the cities by recurrent droughts in the 1970s and 1980s. Recently, GDP growth has been driven by foreign investment in the mining and oil sectors. |
| Economy - overview: | Mauritania's extensive mineral resources include iron ore, gold, copper, gypsum, and phosphate rock, and exploration is ongoing for uranium, crude oil, and natural gas. Extractive commodities make up about three-quarters of Mauritania's total exports, subjecting the economy to price swings in world commodity markets. Mining is also a growing source of government revenue, rising from 13% to 29% of total revenue between 2006 and 2013. The nation's coastal waters are among the richest fishing areas in the world, and fishing accounts for about 25% of budget revenues, but overexploitation by foreigners threatens this key source of revenue. |
| Economy - overview: | Risks to Mauritania's economy include its recurring droughts, dependence on foreign aid and investment, and insecurity in neighboring Mali, as well as significant shortages of infrastructure, institutional capacity, and human capital. Mauritania has sought additional IMF support by focusing efforts on poverty reduction. Investment in agriculture and infrastructure are the largest components of the country’s public expenditures. |
| GDP (purchasing power parity): | $16.29 billion (2015 est.) |
| GDP (purchasing power parity): | $15.98 billion (2014 est.) |
| GDP (purchasing power parity): | $15 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $4.752 billion (2015 est.) |
| GDP - real growth rate: | 1.9% (2015 est.) |
| GDP - real growth rate: | 6.6% (2014 est.) |
| GDP - real growth rate: | 6.4% (2013 est.) |
| GDP - per capita (PPP): | $4,400 (2015 est.) |
| GDP - per capita (PPP): | $4,400 (2014 est.) |
| GDP - per capita (PPP): | $4,200 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 16.7% of GDP (2015 est.) |
| Gross national saving: | 8.7% of GDP (2014 est.) |
| Gross national saving: | 12.4% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 69.6% |
| GDP - composition, by end use: | government consumption: 25.4% |
| GDP - composition, by end use: | investment in fixed capital: 44.5% |
| GDP - composition, by end use: | investment in inventories: -7.3% |
| GDP - composition, by end use: | exports of goods and services: 28.1% |
| GDP - composition, by end use: | imports of goods and services: -60.3% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 23.7% |
| GDP - composition, by sector of origin: | industry: 35.8% |
| GDP - composition, by sector of origin: | services: 40.5% (2015 est.) |
| Agriculture - products: | dates, millet, sorghum, rice, corn; cattle, sheep |
| Industries: | fish processing, oil production, mining (iron ore, gold, copper) |
| Industries: | note: gypsum deposits have never been exploited |
| Industrial production growth rate: | 2.5% (2015 est.) |
| Labor force: | 1.318 million (2015 est.) |
| Labor force - by occupation: | agriculture: 50% |
| Labor force - by occupation: | industry: 2% |
| Labor force - by occupation: | services: 48% (2001 est.) |
| Unemployment rate: | 31% (2013 est.) |
| Population below poverty line: | 40% (2004 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.5% |
| Household income or consumption by percentage share: | highest 10%: 29.5% (2000) |
| Distribution of family income - Gini index: | 39 (2000) |
| Distribution of family income - Gini index: | 37.3 (1995) |
| Budget: | revenues: $1.342 billion |
| Budget: | expenditures: $1.591 billion (2015 est.) |
| Taxes and other revenues: | 28.2% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -5.2% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.5% (2015 est.) |
| Inflation rate (consumer prices): | 3.5% (2014 est.) |
| Central bank discount rate: | 9% (31 December 2009) |
| Central bank discount rate: | 12% (31 December 2007) |
| Commercial bank prime lending rate: | 17% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 17% (31 December 2014 est.) |
| Stock of domestic credit: | $1.8 billion (31 December 2015 est.) |
| Stock of domestic credit: | $1.853 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$917 million (2015 est.) |
| Current account balance: | -$1.471 billion (2014 est.) |
| Exports: | $1.385 billion (2015 est.) |
| Exports: | $1.935 billion (2014 est.) |
| Exports - commodities: | iron ore, fish and fish products, gold, copper, petroleum |
| Exports - partners: | China 32.7%, Switzerland 11.1%, Spain 8.6%, Italy 6.7%, Cote dIvoire 6.6%, Japan 5.7% (2015) |
| Imports: | $1.93 billion (2015 est.) |
| Imports: | $2.646 billion (2014 est.) |
| Imports - commodities: | machinery and equipment, petroleum products, capital goods, foodstuffs, consumer goods |
| Imports - partners: | China 25.5%, Algeria 8.4%, France 6.3%, Morocco 5.1%, Spain 4.8%, Brazil 4.5%, US 4% (2015) |
| Debt - external: | $3.415 billion (31 December 2015 est.) |
| Debt - external: | $3.522 billion (31 December 2014 est.) |
| Exchange rates: | ouguiyas (MRO) per US dollar - |
| Exchange rates: | 319.7 (2015 est.) |
| Exchange rates: | 303.26 (2014 est.) |
| Exchange rates: | 299.5 (2013 est.) |
| Exchange rates: | 296.6 (2012 est.) |
| Exchange rates: | 281.12 (2011 est.) |
