| Economy | KUWAIT |
| --- | --- |
| Economy - overview: | Kuwait has a geographically small, but wealthy, relatively open economy with crude oil reserves of about 102 billion barrels - more than 6% of world reserves. Kuwaiti officials plan to increase oil production to 4 million barrels per day by 2020. Petroleum accounts for over half of GDP, 94% of export revenues, and 90% of government income. |
| Economy - overview: | In 2015, Kuwait, for the first time in 15 years, realized a budget deficit after decades of high oil prices. Kuwaiti authorities have tried to reduce the deficit by decreasing spending on subsidies for the local population, but with limited success. Despite Kuwait’s dependence on oil, the government has cushioned itself against the impact of lower oil prices, by saving annually at least 10% of government revenue in the Fund for Future Generations. |
| Economy - overview: | Kuwait has failed to diversify its economy or bolster the private sector, because of a poor business climate, a large public sector that crowds out private employment of Kuwaiti nationals, and an acrimonious relationship between the National Assembly and the executive branch that has stymied most economic reforms. The Kuwaiti Government has made little progress on its long-term economic development plan first passed in 2010. While the government planned to spend up to $104 billion over four years to diversify the economy, attract more investment, and boost private sector participation in the economy, many of the projects did not materialize because of an uncertain political situation. |
| GDP (purchasing power parity): | $288.4 billion (2015 est.) |
| GDP (purchasing power parity): | $285.8 billion (2014 est.) |
| GDP (purchasing power parity): | $285.7 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $120.7 billion (2015 est.) |
| GDP - real growth rate: | 0.9% (2015 est.) |
| GDP - real growth rate: | 0% (2014 est.) |
| GDP - real growth rate: | 1% (2013 est.) |
| GDP - per capita (PPP): | $70,200 (2015 est.) |
| GDP - per capita (PPP): | $71,500 (2014 est.) |
| GDP - per capita (PPP): | $73,500 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 30.3% of GDP (2015 est.) |
| Gross national saving: | 49.4% of GDP (2014 est.) |
| Gross national saving: | 53.8% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 41.3% |
| GDP - composition, by end use: | government consumption: 24.6% |
| GDP - composition, by end use: | investment in fixed capital: 25% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 54.4% |
| GDP - composition, by end use: | imports of goods and services: -45.3% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.4% |
| GDP - composition, by sector of origin: | industry: 59.7% |
| GDP - composition, by sector of origin: | services: 39.9% (2015 est.) |
| Agriculture - products: | fish |
| Industries: | petroleum, petrochemicals, cement, shipbuilding and repair, water desalination, food processing, construction materials |
| Industrial production growth rate: | -1.7% (2015 est.) |
| Labor force: | 2.473 million |
| Labor force: | note: non-Kuwaitis represent about 60% of the labor force (2015 est.) |
| Labor force - by occupation: | agriculture: NA% |
| Labor force - by occupation: | industry: NA% |
| Labor force - by occupation: | services: NA% |
| Unemployment rate: | 3% (2015 est.) |
| Unemployment rate: | 3% (2014 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $53.07 billion |
| Budget: | expenditures: $68.01 billion (2015 est.) |
| Taxes and other revenues: | 44% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -12.4% of GDP (2015 est.) |
| Public debt: | 10.5% of GDP (2015 est.) |
| Public debt: | 6.6% of GDP (2014 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 3.3% (2015 est.) |
| Inflation rate (consumer prices): | 2.9% (2014 est.) |
| Central bank discount rate: | 1.25% (31 December 2010) |
| Central bank discount rate: | 3% (31 December 2009) |
| Commercial bank prime lending rate: | 4.3% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 4.3% (31 December 2014 est.) |
| Stock of narrow money: | $30.95 billion (31 December 2015 est.) |
| Stock of narrow money: | $32.8 billion (31 December 2014 est.) |
| Stock of broad money: | $114.8 billion (31 December 2015 est.) |
| Stock of broad money: | $116 billion (31 December 2014 est.) |
| Stock of domestic credit: | $98.46 billion (31 December 2015 est.) |
| Stock of domestic credit: | $96.61 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $99.77 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $100.9 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $119.6 billion (31 December 2010 est.) |
| Current account balance: | $13.89 billion (2015 est.) |
| Current account balance: | $53.8 billion (2014 est.) |
| Exports: | $55.32 billion (2015 est.) |
| Exports: | $104.5 billion (2014 est.) |
| Exports - commodities: | oil and refined products, fertilizers |
| Exports - partners: | South Korea 14.5%, China 12.1%, India 12.1%, Japan 10.4%, US 7.6%, Pakistan 5.9%, Singapore 4.3% (2015) |
| Imports: | $27.34 billion (2015 est.) |
| Imports: | $26.99 billion (2014 est.) |
| Imports - commodities: | food, construction materials, vehicles and parts, clothing |
| Imports - partners: | China 13.2%, US 9.6%, Saudi Arabia 7.7%, Japan 6.5%, Germany 5.1%, France 4.3%, India 4.2% (2015) |
| Reserves of foreign exchange and gold: | $28.37 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $32.22 billion (31 December 2014 est.) |
| Debt - external: | $36.3 billion (31 December 2015 est.) |
| Debt - external: | $35.26 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $12.16 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $11.87 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $69.6 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $64.19 billion (31 December 2014 est.) |
| Exchange rates: | Kuwaiti dinars (KD) per US dollar - |
| Exchange rates: | 0.3009 (2015 est.) |
| Exchange rates: | 0.2845 (2014 est.) |
| Exchange rates: | 0.2845 (2013 est.) |
| Exchange rates: | 0.28 (2012 est.) |
| Exchange rates: | 0.276 (2011 est.) |
