| Economy | LESOTHO |
| Industrial production growth rate: | 5.6% (2016 est.) |
| Labor force: | 922,400 (2016 est.) |
| Labor force - by occupation: | agriculture: 86% |
| Labor force - by occupation: | industry and services: 14% |
| Labor force - by occupation: | note: most of the resident population is engaged in subsistence agriculture; roughly 35% of the active male wage earners work in South Africa (2002 est.) |
| Unemployment rate: | 28.1% (2014 est.) |
| Unemployment rate: | 25% (2008 est.) |
| Population below poverty line: | 57% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1% |
| Household income or consumption by percentage share: | highest 10%: 39.4% (2003) |
| Distribution of family income - Gini index: | 63.2 (1995) |
| Distribution of family income - Gini index: | 56 (1986-87) |
| Budget: | revenues: $917.8 million |
| Budget: | expenditures: $1.081 billion (2016 est.) |
| Taxes and other revenues: | 40.5% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -7.2% of GDP (2016 est.) |
| Public debt: | 47.8% of GDP (2016 est.) |
| Public debt: | 49.5% of GDP (2015 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 6.4% (2016 est.) |
| Inflation rate (consumer prices): | 3.2% (2015 est.) |
| Central bank discount rate: | 6.75% (2 February 2016) |
| Central bank discount rate: | 6.25% (31 December 2015) |
| Commercial bank prime lending rate: | 11.58% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 10.59% (31 December 2015 est.) |
| Stock of narrow money: | $356.3 million (31 December 2016 est.) |
| Stock of narrow money: | $340.6 million (31 December 2015 est.) |
| Stock of broad money: | $725.2 million (31 December 2016 est.) |
| Stock of broad money: | $652.1 million (31 December 2015 est.) |
| Stock of domestic credit: | $230.9 million (31 December 2016 est.) |
| Stock of domestic credit: | $48.89 million (31 December 2015 est.) |
| Current account balance: | $-174 million (2016 est.) |
| Current account balance: | $-84 million (2015 est.) |
| Exports: | $894 million (2016 est.) |
| Exports: | $928.5 million (2015 est.) |
| Exports - commodities: | manufactures (clothing, footwear), wool and mohair, food and live animals, electricity, water, diamonds |
| Exports - partners: | South Africa 56.5%, US 35.4% (2016) |
| Imports: | $1.613 billion (2016 est.) |
| Imports: | $1.73 billion (2015 est.) |
| Imports - commodities: | food; building materials, vehicles, machinery, medicines, petroleum products |
| Imports - partners: | South Africa 84.5% (2016) |
| Reserves of foreign exchange and gold: | $925.2 million (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $904.2 million (31 December 2015 est.) |
| Debt - external: | $921.3 million (31 December 2016 est.) |
| Debt - external: | $879.9 million (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $456.5 million (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $376.1 million (31 December 2015 est.) |
| Exchange rates: | maloti (LSL) per US dollar - |
| Exchange rates: | 14.7096 (2016 est.) |
| Exchange rates: | 14.71 (2015 est.) |
| Exchange rates: | 12.76 (2014 est.) |
| Exchange rates: | 10.85 (2013 est.) |
| Exchange rates: | 8.2 (2012 est.) |
