| Economy | TUNISIA |
| --- | --- |
| Economy - overview: | Tunisia's diverse, market-oriented economy has long been cited as a success story in Africa and the Middle East, but it faces an array of challenges following the 2011 Arab Spring revolution. Following an ill-fated experiment with socialist economic policies in the 1960s, Tunisia embarked on a successful strategy focused on bolstering exports, foreign investment, and tourism, all of which have become central to the country's economy. Key exports now include textiles and apparel, food products, petroleum products, chemicals, and phosphates, with about 80% of exports bound for Tunisia's main economic partner, the EU. |
| Economy - overview: | Tunisia's liberal strategy, coupled with investments in education and infrastructure, fueled decades of 4-5% annual GDP growth and improving living standards. Former President Zine el Abidine BEN ALI (1987-2011) continued these policies, but as his reign wore on cronyism and corruption stymied economic performance, and unemployment rose among the country's growing ranks of university graduates. These grievances contributed to the January 2011 overthrow of BEN ALI, sending Tunisia's economy into a tailspin as tourism and investment declined sharply. |
| Economy - overview: | Since its establishment in late 2014, Tunisia’s new government has faced challenges reassuring businesses and investors, bringing budget and current account deficits under control, shoring up the country's financial system, lowering high unemployment, and reducing economic disparities between the more developed coastal region and the impoverished interior. In 2015, successive terrorist attacks against the tourism sector and worker strikes in the phosphate sector, which combined account for nearly 15% of GDP, slowed growth to less than 1% of GDP. |
| GDP (purchasing power parity): | $127 billion (2015 est.) |
| GDP (purchasing power parity): | $126 billion (2014 est.) |
| GDP (purchasing power parity): | $123.2 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $43.58 billion (2015 est.) |
| GDP - real growth rate: | 0.8% (2015 est.) |
| GDP - real growth rate: | 2.3% (2014 est.) |
| GDP - real growth rate: | 2.4% (2013 est.) |
| GDP - per capita (PPP): | $11,400 (2015 est.) |
| GDP - per capita (PPP): | $11,500 (2014 est.) |
| GDP - per capita (PPP): | $11,300 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 21.2% of GDP (2015 est.) |
| Gross national saving: | 24.1% of GDP (2014 est.) |
| Gross national saving: | 24.2% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 71.2% |
| GDP - composition, by end use: | government consumption: 19.4% |
| GDP - composition, by end use: | investment in fixed capital: 19.7% |
| GDP - composition, by end use: | investment in inventories: 0.6% |
| GDP - composition, by end use: | exports of goods and services: 39.9% |
