| Economy | NEW ZEALAND |
| --- | --- |
| Economy - overview: | Over the past 40 years, the government has transformed New Zealand from an agrarian economy, dependent on concessionary British market access, to a more industrialized, free market economy that can compete globally. This dynamic growth has boosted real incomes, but left behind some at the bottom of the ladder and broadened and deepened the technological capabilities of the industrial sector. |
| Economy - overview: | Per capita income rose for 10 consecutive years until 2007 in purchasing power parity terms, but fell in 2008-09. Debt-driven consumer spending drove robust growth in the first half of the decade, fueling a large balance of payments deficit that posed a challenge for policymakers. Inflationary pressures caused the central bank to raise its key rate steadily from January 2004 until it was among the highest in the OECD in 2007 and 2008. The higher rate attracted international capital inflows, which strengthened the currency and housing market while aggravating the current account deficit. Rising house prices, especially in Auckland, have become a political issue in recent years, as well as a policy challenge in 2016 and 2017, as the ability to afford housing has declined for many. |
| Economy - overview: | The economy fell into recession before the start of the global financial crisis and contracted for five consecutive quarters in 2008 and 2009. In line with global peers, the central bank cut interest rates aggressively and the government developed fiscal stimulus measures. The economy pulled out of recession in 2009, and achieved 2%-3% growth from 2011 to 2016. Nevertheless, key trade sectors remain vulnerable to weak external demand and lower commodity prices. In the aftermath of the 2010 Canterbury earthquakes, the government has continued programs to expand export markets, develop capital markets, invest in innovation, raise productivity growth, and develop infrastructure, while easing its fiscal austerity. Expanding New Zealand’s network of free trade agreements remains a top foreign policy priority. |
| GDP (purchasing power parity): | $176.4 billion (2016 est.) |
| GDP (purchasing power parity): | $168.2 billion (2015 est.) |
| GDP (purchasing power parity): | $161.2 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $181.7 billion (2016 est.) |
| GDP - real growth rate: | 3.6% (2016 est.) |
| GDP - real growth rate: | 3.2% (2015 est.) |
| GDP - real growth rate: | 2.8% (2014 est.) |
| GDP - per capita (PPP): | $37,200 (2016 est.) |
| GDP - per capita (PPP): | $36,700 (2015 est.) |
| GDP - per capita (PPP): | $36,200 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 20.5% of GDP (2016 est.) |
| Gross national saving: | 20.1% of GDP (2015 est.) |
| Gross national saving: | 19.5% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 57.5% |
| GDP - composition, by end use: | government consumption: 18.5% |
| GDP - composition, by end use: | investment in fixed capital: 23.1% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 26.8% |
| GDP - composition, by end use: | imports of goods and services: -26.1% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.9% |
| GDP - composition, by sector of origin: | industry: 26.3% |
| GDP - composition, by sector of origin: | services: 69.8% (2016 est.) |
| Agriculture - products: | dairy products, sheep, beef, poultry, fruit, vegetables, wine, seafood, wheat and barley |
| Industries: | agriculture, forestry, fishing, logs and wood articles, manufacturing, mining, construction, financial services, real estate services, tourism |
| Industrial production growth rate: | 3.5% (2016 est.) |
| Labor force: | 2.598 million (2016 est.) |
| Labor force - by occupation: | agriculture: 7% |
| Labor force - by occupation: | industry: 19% |
| Labor force - by occupation: | services: 74% (2006 est.) |
| Unemployment rate: | 5.1% (2016 est.) |
| Unemployment rate: | 5.4% (2015 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Distribution of family income - Gini index: | 36.2 (1997) |
| Budget: | revenues: $68.45 billion |
| Budget: | expenditures: $66.86 billion (2016 est.) |
| Taxes and other revenues: | 37.6% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | 0.9% of GDP (2016 est.) |
| Public debt: | 33.3% of GDP (2016 est.) |
| Public debt: | 34.8% of GDP (2015 est.) |
| Fiscal year: | 1 April - 31 March |
| Fiscal year: | note: this is the fiscal year for tax purposes |
| Inflation rate (consumer prices): | 0.6% (2016 est.) |
| Inflation rate (consumer prices): | 0.3% (2015 est.) |
| Central bank discount rate: | 2.5% (31 December 2009) |
| Central bank discount rate: | 5% (31 December 2008) |
| Commercial bank prime lending rate: | 5.02% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 5.76% (31 December 2015 est.) |
| Stock of narrow money: | $42.01 billion (31 December 2016 est.) |
| Stock of narrow money: | $37.67 billion (31 December 2015 est.) |
| Stock of broad money: | $190 billion (31 December 2016 est.) |
| Stock of broad money: | $173.4 billion (31 December 2015 est.) |
| Stock of domestic credit: | $284.7 billion (31 December 2016 est.) |
| Stock of domestic credit: | $261.3 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $74.35 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $74.42 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $65.96 billion (31 December 2013 est.) |
| Current account balance: | $-5.013 billion (2016 est.) |
| Current account balance: | $-5.501 billion (2015 est.) |
| Exports: | $33.61 billion (2016 est.) |
| Exports: | $34.43 billion (2015 est.) |
| Exports - commodities: | dairy products, meat and edible offal, logs and wood articles, fruit, crude oil, wine |
| Exports - partners: | China 19.4%, Australia 17.1%, US 10.9%, Japan 6.2% (2016) |
| Imports: | $35.53 billion (2016 est.) |
| Imports: | $35.79 billion (2015 est.) |
| Imports - commodities: | petroleum and products, mechanical machinery, vehicles and parts, electrical machinery, textiles |
| Imports - partners: | China 19.9%, Australia 12.6%, US 11.3%, Japan 7.1%, Germany 4.8%, Thailand 4.5%, South Korea 4.2% (2016) |
| Reserves of foreign exchange and gold: | $17.81 billion (31 December 2016 est.) |
