| Economy | NEW ZEALAND |
| Reserves of foreign exchange and gold: | $14.7 billion (31 December 2015 est.) |
| Debt - external: | $84.03 billion (31 December 2016 est.) |
| Debt - external: | $86.15 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $77.31 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $74.47 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $59.08 billion (31 December 2009) |
| Exchange rates: | New Zealand dollars (NZD) per US dollar - |
| Exchange rates: | 1.4341 (2016 est.) |
| Exchange rates: | 1.4341 (2015 est.) |
| Exchange rates: | 1.4279 (2014 est.) |
| Exchange rates: | 1.2039 (2013 est.) |
| Exchange rates: | 1.23 (2012 est.) |
