| Economy | RWANDA |
| --- | --- |
| Economy - overview: | Rwanda is a rural, agrarian country with about 35% of the population engaged in subsistence agriculture, and with some mineral and agro-processing. Population density is high but not concentrated in large metropolises – its 13 million people are spread out on a small amount of land (about the size of Vermont and New Hampshire combined). Tourism, minerals, coffee, and tea are Rwanda's main sources of foreign exchange. Despite Rwanda's fertile ecosystem, food production often does not keep pace with demand, requiring food imports. Energy shortages, instability in neighboring states, and lack of adequate transportation linkages to other countries continue to handicap private sector growth. |
| Economy - overview: | The 1994 genocide decimated Rwanda's fragile economic base, severely impoverished the population, particularly women, and temporarily stalled the country's ability to attract private and external investment. However, Rwanda has made substantial progress in stabilizing and rehabilitating its economy beyond pre-1994 levels. GDP has rebounded with an average annual growth of 6%-8% since 2003 and inflation has been reduced to single digits. In 2015, 39% of the population lived below the poverty line, according to government statistics, compared to 57% in 2006. Mining profits in 2015 were reduced by almost half, owing to the drop in global demand for minerals. |
| Economy - overview: | Africa's most densely populated country is trying to overcome the limitations of its small, landlocked economy by leveraging regional trade; Rwanda joined the East African Community and is aligning its budget, trade, and immigration policies with its regional partners. The government has embraced an expansionary fiscal policy to reduce poverty by improving education, infrastructure, and foreign and domestic investment. In recognition of Rwanda's successful management of its macro economy, the IMF graduated Rwanda to a Policy Support Instrument in 2010. |
| Economy - overview: | The Rwandan Government is seeking to become a regional leader in information and communication technologies. In 2012, Rwanda completed the first modern Special Economic Zone (SEZ) in Kigali. The SEZ seeks to attract investment in all sectors, but specifically in agribusiness, information and communications, trade and logistics, mining, and construction. In 2016, the government launched an online system to give investors information about public land and its suitability for agricultural development. |
| GDP (purchasing power parity): | $22.79 billion (2016 est.) |
| GDP (purchasing power parity): | $21.24 billion (2015 est.) |
| GDP (purchasing power parity): | $19.3 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $8.406 billion (2016 est.) |
| GDP - real growth rate: | 5.9% (2016 est.) |
| GDP - real growth rate: | 8.9% (2015 est.) |
| GDP - real growth rate: | 7.6% (2014 est.) |
| GDP - per capita (PPP): | $2,000 (2016 est.) |
| GDP - per capita (PPP): | $1,900 (2015 est.) |
| GDP - per capita (PPP): | $1,800 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
