| Economy | AUSTRALIA |
| --- | --- |
| Economy - overview: | Following two decades of continuous growth, low unemployment, contained inflation, very low public debt, and a strong and stable financial system, Australia enters 2017 facing a range of growth constraints, principally driven by the sharp fall in global prices of key export commodities. Demand for resources and energy from Asia and especially China has stalled and sharp drops in current prices have impacted growth. |
| Economy - overview: | The services sector is the largest part of the Australian economy, accounting for about 70% of GDP and 75% of jobs. Australia was comparatively unaffected by the global financial crisis as the banking system has remained strong and inflation is under control. |
| Economy - overview: | Australia benefited from a dramatic surge in its terms of trade in recent years, although this trend has reversed due to falling global commodity prices. Australia is a significant exporter of natural resources, energy, and food. Australia's abundant and diverse natural resources attract high levels of foreign investment and include extensive reserves of coal, iron, copper, gold, natural gas, uranium, and renewable energy sources. A series of major investments, such as the US$40 billion Gorgon Liquid Natural Gas Project, will significantly expand the resources sector. |
| Economy - overview: | Australia is an open market with minimal restrictions on imports of goods and services. The process of opening up has increased productivity, stimulated growth, and made the economy more flexible and dynamic. Australia plays an active role in the WTO, APEC, the G20, and other trade forums. Australia’s free trade agreement (FTA) with China entered into force in 2015, adding to existing FTAs with the Republic of Korea, Japan, Chile, Malaysia, New Zealand, Singapore, Thailand, and the US, and a regional FTA with ASEAN and New Zealand. Australia continues to negotiate bilateral agreements with India and Indonesia, as well as larger agreements with its Pacific neighbors and the Gulf Cooperation Council countries, and an Asia-wide Regional Comprehensive Economic Partnership that includes the 10 ASEAN countries and China, Japan, Korea, New Zealand and India. |
| GDP (purchasing power parity): | $1.188 trillion (2016 est.) |
| GDP (purchasing power parity): | $1.144 trillion (2015 est.) |
| GDP (purchasing power parity): | $1.105 trillion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $1.262 trillion (2016 est.) |
| GDP - real growth rate: | 2.5% (2016 est.) |
| GDP - real growth rate: | 2.4% (2015 est.) |
| GDP - real growth rate: | 2.8% (2014 est.) |
| GDP - per capita (PPP): | $48,700 (2016 est.) |
| GDP - per capita (PPP): | $48,300 (2015 est.) |
| GDP - per capita (PPP): | $47,800 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 21.9% of GDP (2016 est.) |
| Gross national saving: | 22.1% of GDP (2015 est.) |
| Gross national saving: | 23.9% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 57.3% |
| GDP - composition, by end use: | government consumption: 18.9% |
