| Economy | AUSTRALIA |
| GDP - composition, by end use: | investment in fixed capital: 24.9% |
| GDP - composition, by end use: | investment in inventories: -0.4% |
| GDP - composition, by end use: | exports of goods and services: 19.5% |
| GDP - composition, by end use: | imports of goods and services: -20.2% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.6% |
| GDP - composition, by sector of origin: | industry: 26.5% |
| GDP - composition, by sector of origin: | services: 69.9% (2016 est.) |
| Agriculture - products: | wheat, barley, sugarcane, fruits; cattle, sheep, poultry |
| Industries: | mining, industrial and transportation equipment, food processing, chemicals, steel |
| Industrial production growth rate: | 0.3% (2016 est.) |
| Labor force: | 12.74 million (2016 est.) |
| Labor force - by occupation: | agriculture: 3.6% |
| Labor force - by occupation: | industry: 21.1% |
| Labor force - by occupation: | services: 75.3% (2009 est.) |
| Unemployment rate: | 5.7% (2016 est.) |
| Unemployment rate: | 5.7% (2015 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 25.4% (1994) |
| Distribution of family income - Gini index: | 30.3 (2008) |
| Distribution of family income - Gini index: | 35.2 (1994) |
| Budget: | revenues: $432.4 billion |
| Budget: | expenditures: $457.7 billion (2016 est.) |
| Taxes and other revenues: | 34.3% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -2% of GDP (2016 est.) |
| Public debt: | 46.6% of GDP (2016 est.) |
| Public debt: | 44.2% of GDP (2015 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 1.3% (2016 est.) |
| Inflation rate (consumer prices): | 1.5% (2015 est.) |
| Central bank discount rate: | 3% (28 February 2013) |
| Central bank discount rate: | 4.35% (31 December 2010) |
| Central bank discount rate: | note: this is the Reserve Bank of Australia's "cash rate target," or policy rate |
| Commercial bank prime lending rate: | 5.42% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 5.58% (31 December 2015 est.) |
| Stock of narrow money: | $243.1 billion (31 December 2016 est.) |
| Stock of narrow money: | $229.7 billion (31 December 2015 est.) |
| Stock of broad money: | $1.415 trillion (31 December 2016 est.) |
| Stock of broad money: | $1.337 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $2.098 trillion (31 December 2016 est.) |
| Stock of domestic credit: | $1.985 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.187 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.289 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.366 trillion (31 December 2013 est.) |
| Current account balance: | $-33.31 billion (2016 est.) |
| Current account balance: | $-58.06 billion (2015 est.) |
| Exports: | $191.7 billion (2016 est.) |
| Exports: | $188.3 billion (2015 est.) |
| Exports - commodities: | coal, iron ore, gold, meat, wool, alumina, wheat, machinery and transport equipment |
| Exports - partners: | China 30.5%, Japan 12.4%, US 6.5%, South Korea 6.1% (2016) |
| Imports: | $198.5 billion (2016 est.) |
| Imports: | $207.2 billion (2015 est.) |
| Imports - commodities: | machinery and transport equipment, computers and office machines, telecommunication equipment and parts; crude oil and petroleum products |
| Imports - partners: | China 23.4%, US 11.5%, Japan 7.8%, Thailand 5.6%, Germany 5.3%, South Korea 4.3% (2016) |
| Reserves of foreign exchange and gold: | $55.07 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $49.27 billion (31 December 2015 est.) |
| Debt - external: | $1.547 trillion (31 December 2016 est.) |
| Debt - external: | $1.538 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $617.7 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $582.6 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $441.4 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $434.7 billion (31 December 2015 est.) |
| Exchange rates: | Australian dollars (AUD) per US dollar - |
| Exchange rates: | 1.3442 (2016 est.) |
| Exchange rates: | 1.3442 (2015 est.) |
| Exchange rates: | 1.3291 (2014 est.) |
| Exchange rates: | 1.1094 (2013 est.) |
| Exchange rates: | 0.9695 (2012 est.) |
