| Economy | TANZANIA |
| --- | --- |
| Economy - overview: | Tanzania is one of the world's poorest economies in terms of per capita income, but has achieved high growth rates based on its vast natural resource wealth and tourism. GDP growth in 2009-16 averaged 6%-7% per year. Dar es Salaam used fiscal stimulus measures and easier monetary policies to lessen the impact of the global recession. Tanzania has largely completed its transition to a market economy, though the government retains a presence in sectors such as telecommunications, banking, energy, and mining. |
| Economy - overview: | The economy depends on agriculture, which accounts for more than one-quarter of GDP, provides 85% of exports, and employs about 65% of the work force. All land in Tanzania is owned by the government, which can lease land for up to 99 years. Proposed reforms to allow for land ownership, particularly foreign land ownership, remain unpopular. |
| Economy - overview: | The financial sector in Tanzania has expanded in recent years and foreign-owned banks account for about 48% of the banking industry's total assets. Competition among foreign commercial banks has resulted in significant improvements in the efficiency and quality of financial services, though interest rates are still relatively high, reflecting high fraud risk. Recent banking reforms have helped increase private-sector growth and investment. |
| Economy - overview: | The World Bank, the IMF, and bilateral donors have provided funds to rehabilitate Tanzania's aging infrastructure, including rail and port, which provide important trade links for inland countries. In 2013, Tanzania completed the world's largest Millennium Challenge Compact (MCC) grant, worth $698 million, but in late 2015, the MCC Board of Directors deferred a decision to renew Tanzania’s eligibility because of irregularities in voting in Zanzibar and concerns over the governments use of a controversial cybercrime bill. |
| Economy - overview: | Under the new government elected in 2015, Tanzania has developed an ambitious development agenda focused on creating a better business environment through improved infrastructure, access to financing, and education progress, but implementing budgets remains challenging for the government. |
| GDP (purchasing power parity): | $150.3 billion (2016 est.) |
| GDP (purchasing power parity): | $138.7 billion (2015 est.) |
| GDP (purchasing power parity): | $128.3 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $47.65 billion (2016 est.) |
| GDP - real growth rate: | 7% (2016 est.) |
| GDP - real growth rate: | 7% (2015 est.) |
| GDP - real growth rate: | 7% (2014 est.) |
| GDP - per capita (PPP): | $3,100 (2016 est.) |
| GDP - per capita (PPP): | $2,900 (2015 est.) |
| GDP - per capita (PPP): | $2,800 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 23% of GDP (2016 est.) |
| Gross national saving: | 24.7% of GDP (2015 est.) |
| Gross national saving: | 21.8% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 61.8% |
| GDP - composition, by end use: | government consumption: 13.9% |
| GDP - composition, by end use: | investment in fixed capital: 33.5% |
| GDP - composition, by end use: | investment in inventories: -6% |
| GDP - composition, by end use: | exports of goods and services: 19.5% |
| GDP - composition, by end use: | imports of goods and services: -22.6% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 24.5% |
| GDP - composition, by sector of origin: | industry: 27.6% |
| GDP - composition, by sector of origin: | services: 47.3% (2016 est.) |
| Agriculture - products: | coffee, sisal, tea, cotton, pyrethrum (insecticide made from chrysanthemums), cashew nuts, tobacco, cloves, corn, wheat, cassava (manioc, tapioca), bananas, fruits, vegetables; cattle, sheep, goats |
| Industries: | agricultural processing (sugar, beer, cigarettes, sisal twine); mining (diamonds, gold, and iron), salt, soda ash; cement, oil refining, shoes, apparel, wood products, fertilizer |
| Industrial production growth rate: | 10.9% (2016 est.) |
| Labor force: | 24.05 million (2016 est.) |
| Labor force - by occupation: | agriculture: 66.9% |
| Labor force - by occupation: | industry: 6.4% |
| Labor force - by occupation: | services: 26.6% (2014 est.) |
| Unemployment rate: | 10.3% (2014 est.) |
| Population below poverty line: | 22.8% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 29.6% (2007) |
| Distribution of family income - Gini index: | 37.6 (2007) |
| Distribution of family income - Gini index: | 34.6 (2000) |
| Budget: | revenues: $6.615 billion |
| Budget: | expenditures: $8.158 billion (2016 est.) |
| Taxes and other revenues: | 14% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -3.3% of GDP (2016 est.) |
| Public debt: | 34% of GDP (2016 est.) |
| Public debt: | 34.2% of GDP (2015 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 5.2% (2016 est.) |
| Inflation rate (consumer prices): | 5.6% (2015 est.) |
| Central bank discount rate: | 8.25% (31 December 2010) |
| Central bank discount rate: | 3.7% (31 December 2009) |
| Commercial bank prime lending rate: | 15.96% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 16.1% (31 December 2015 est.) |
| Stock of narrow money: | $4.601 billion (31 December 2016 est.) |
| Stock of narrow money: | $4.457 billion (31 December 2015 est.) |
| Stock of broad money: | $7.613 billion (31 December 2016 est.) |
| Stock of broad money: | $7.345 billion (31 December 2015 est.) |
| Stock of domestic credit: | $9.625 billion (31 December 2016 est.) |
| Stock of domestic credit: | $9.483 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.803 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.539 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.264 billion (31 December 2010 est.) |
| Current account balance: | $-2.677 billion (2016 est.) |
| Current account balance: | $-4.12 billion (2015 est.) |
| Exports: | $5.697 billion (2016 est.) |
| Exports: | $5.402 billion (2015 est.) |
| Exports - commodities: | gold, coffee, cashew nuts, manufactures, cotton |
| Exports - partners: | Switzerland 15.1%, India 13.8%, South Africa 12.4%, China 7%, Kenya 6.2%, Democratic Republic of the Congo 5.7%, Belgium 5.6% (2016) |
| Imports: | $8.464 billion (2016 est.) |
| Imports: | $9.843 billion (2015 est.) |
| Imports - commodities: | consumer goods, machinery and transportation equipment, industrial raw materials, crude oil |
| Imports - partners: | China 20.7%, India 18.1%, UAE 7.5%, South Africa 6%, Japan 4.7% (2016) |
| Reserves of foreign exchange and gold: | $4.067 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $4.073 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | note: excludes gold |
| Debt - external: | $15.21 billion (31 December 2016 est.) |
| Debt - external: | $15.05 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Tanzanian shillings (TZS) per US dollar - |
| Exchange rates: | 2,177.1 (2016 est.) |
| Exchange rates: | 2,177.1 (2015 est.) |
| Exchange rates: | 1,989.7 (2014 est.) |
| Exchange rates: | 1,654 (2013 est.) |
| Exchange rates: | 1,583 (2012 est.) |
