| Economy | LITHUANIA |
| --- | --- |
| Economy - overview: | Lithuania gained membership in the WTO in May 2001 and joined the EU in May 2004. Lithuania's trade with the EU and CIS countries accounts for approximately 87.3% of total trade. Foreign investment and EU funding have aided in the transition from the former planned economy to a market economy. The three former Soviet Baltic republics were severely hit by the 2008-09 financial crisis, but Lithuania has rebounded and become one of the fastest growing economies in the EU. Lithuania’s ongoing recovery hinges on export growth, which is being hampered by economic slowdowns in the EU and Russia. Lithuania joined the euro zone on 1 January 2015 and is under review for membership in the OECD. |
| GDP (purchasing power parity): | $82.36 billion (2015 est.) |
| GDP (purchasing power parity): | $81.06 billion (2014 est.) |
| GDP (purchasing power parity): | $78.68 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $41.27 billion (2015 est.) |
| GDP - real growth rate: | 1.6% (2015 est.) |
| GDP - real growth rate: | 3% (2014 est.) |
| GDP - real growth rate: | 3.5% (2013 est.) |
| GDP - per capita (PPP): | $28,400 (2015 est.) |
| GDP - per capita (PPP): | $27,600 (2014 est.) |
| GDP - per capita (PPP): | $26,600 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 16.8% of GDP (2015 est.) |
| Gross national saving: | 21.7% of GDP (2014 est.) |
| Gross national saving: | 20.6% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 64.1% |
| GDP - composition, by end use: | government consumption: 17.5% |
| GDP - composition, by end use: | investment in fixed capital: 20.8% |
| GDP - composition, by end use: | investment in inventories: -2.3% |
| GDP - composition, by end use: | exports of goods and services: 77.4% |
| GDP - composition, by end use: | imports of goods and services: -77.5% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.2% |
| GDP - composition, by sector of origin: | industry: 30.2% |
| GDP - composition, by sector of origin: | services: 66.6% (2015 est.) |
| Agriculture - products: | grain, potatoes, sugar beets, flax, vegetables; beef, milk, eggs, pork, cheese; fish |
| Industries: | metal-cutting machine tools, electric motors, television sets, refrigerators and freezers, petroleum refining, shipbuilding (small ships), furniture, textiles, food processing, fertilizers, agricultural machinery, optical equipment, lasers, electronic components, computers, amber jewelry, information technology, video game development, biotechnology |
| Industrial production growth rate: | 1.2% (2015 est.) |
| Labor force: | 1.469 million (2015 est.) |
| Labor force - by occupation: | agriculture: 7.9% |
| Labor force - by occupation: | industry: 19.6% |
| Labor force - by occupation: | services: 72.5% (2012 est.) |
| Unemployment rate: | 9.1% (2015 est.) |
| Unemployment rate: | 10.7% (2014 est.) |
| Population below poverty line: | 4% (2008 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 29.1% (2008) |
| Distribution of family income - Gini index: | 35.5 (2009) |
| Distribution of family income - Gini index: | 34 (1999) |
| Budget: | revenues: $14.4 billion |
| Budget: | expenditures: $14.48 billion (2015 est.) |
| Taxes and other revenues: | 34.9% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -0.2% of GDP (2015 est.) |
| Public debt: | 45.2% of GDP (2015 est.) |
| Public debt: | 42.5% of GDP (2014 est.) |
