| Economy | KUWAIT |
| --- | --- |
| Economy - overview: | Kuwait has a geographically small, but wealthy, relatively open economy with crude oil reserves of about 102 billion barrels - more than 6% of world reserves. Kuwaiti officials plan to increase production to 4 million barrels of oil equivalent per day by 2020. Petroleum accounts for over half of GDP, 92% of export revenues, and 90% of government income. |
| Economy - overview: | In 2015, Kuwait, for the first time in 15 years, realized a budget deficit after decades of high oil prices; in 2016, the deficit grew to 16.5% of GDP. Kuwaiti authorities announced cuts to fuel subsidies in August 2016, provoking outrage among the public and National Assembly, and the Amir dissolved the government for the seventh time in ten years. Despite Kuwait’s dependence on oil, the government has cushioned itself against the impact of lower oil prices, by saving annually at least 10% of government revenue in the Fund for Future Generations. |
| Economy - overview: | Kuwait has failed to diversify its economy or bolster the private sector, because of a poor business climate, a large public sector that employs about 76% of citizens, and an acrimonious relationship between the National Assembly and the executive branch that has stymied most economic reforms. The Kuwaiti Government has made little progress on its long-term economic development plan first passed in 2010. While the government planned to spend up to $104 billion over four years to diversify the economy, attract more investment, and boost private sector participation in the economy, many of the projects did not materialize because of an uncertain political situation or delays in awarding contracts. |
| GDP (purchasing power parity): | $303.7 billion (2016 est.) |
| GDP (purchasing power parity): | $292.6 billion (2015 est.) |
| GDP (purchasing power parity): | $283.6 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $110.9 billion (2016 est.) |
| GDP - real growth rate: | 2.5% (2016 est.) |
| GDP - real growth rate: | 2.1% (2015 est.) |
| GDP - real growth rate: | 0.6% (2014 est.) |
| GDP - per capita (PPP): | $71,900 (2016 est.) |
| GDP - per capita (PPP): | $72,100 (2015 est.) |
| GDP - per capita (PPP): | $72,600 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 25.1% of GDP (2016 est.) |
| Gross national saving: | 30.8% of GDP (2015 est.) |
| Gross national saving: | 50.2% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 47.6% |
| GDP - composition, by end use: | government consumption: 27.3% |
| GDP - composition, by end use: | investment in fixed capital: 30.2% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 50.1% |
| GDP - composition, by end use: | imports of goods and services: -55.3% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.4% |
| GDP - composition, by sector of origin: | industry: 59.6% |
| GDP - composition, by sector of origin: | services: 40% (2016 est.) |
| Agriculture - products: | fish |
| Industries: | petroleum, petrochemicals, cement, shipbuilding and repair, water desalination, food processing, construction materials |
| Industrial production growth rate: | 1.2% (2016 est.) |
| Labor force: | 2.612 million |
| Labor force: | note: non-Kuwaitis represent about 60% of the labor force (2016 est.) |
| Labor force - by occupation: | agriculture: NA% |
| Labor force - by occupation: | industry: NA% |
| Labor force - by occupation: | services: NA% |
| Unemployment rate: | 2.1% (2016 est.) |
| Unemployment rate: | 3% (2015 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $47.46 billion |
| Budget: | expenditures: $59.59 billion (2016 est.) |
| Taxes and other revenues: | 43.2% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -11% of GDP (2016 est.) |
| Public debt: | 17.3% of GDP (2016 est.) |
| Public debt: | 9.2% of GDP (2015 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 3.5% (2016 est.) |
| Inflation rate (consumer prices): | 3.3% (2015 est.) |
| Central bank discount rate: | 2.5% (31 December 2016) |
| Central bank discount rate: | 1.25% (31 December 2010) |
| Commercial bank prime lending rate: | 4.5% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 4.3% (31 December 2015 est.) |
| Stock of narrow money: | $31.87 billion (31 December 2016 est.) |
| Stock of narrow money: | $30.95 billion (31 December 2015 est.) |
| Stock of broad money: | $116.9 billion (31 December 2016 est.) |
| Stock of broad money: | $113.8 billion (31 December 2015 est.) |
| Stock of domestic credit: | $98.92 billion (31 December 2016 est.) |
| Stock of domestic credit: | $98.87 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $81.78 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $83.13 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $99.77 billion (31 December 2014 est.) |
| Current account balance: | $-4.997 billion (2016 est.) |
| Current account balance: | $3.742 billion (2015 est.) |
| Exports: | $46.26 billion (2016 est.) |
| Exports: | $54.11 billion (2015 est.) |
| Exports - commodities: | oil and refined products, fertilizers |
| Exports - partners: | South Korea 16.8%, China 14.4%, Japan 9.6%, India 9.2%, US 7.5%, Singapore 5.6% (2016) |
| Imports: | $30.82 billion (2016 est.) |
| Imports: | $30.96 billion (2015 est.) |
| Imports - commodities: | food, construction materials, vehicles and parts, clothing |
| Imports - partners: | China 14.1%, US 11.9%, UAE 8.3%, Japan 6.5%, Germany 6.2%, India 5.4%, Italy 5%, Saudi Arabia 4.4%, South Korea 4.4% (2016) |
| Reserves of foreign exchange and gold: | $31.13 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $28.37 billion (31 December 2015 est.) |
| Debt - external: | $38.34 billion (31 December 2016 est.) |
| Debt - external: | $35.59 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $12.62 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $12.18 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $74.13 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $69.56 billion (31 December 2015 est.) |
| Exchange rates: | Kuwaiti dinars (KD) per US dollar - |
| Exchange rates: | 0.3022 (2016 est.) |
