| Economy | CAMBODIA |
| --- | --- |
| Economy - overview: | Cambodia has experienced strong economic growth over the last decade; GDP grew at an average annual rate of over 8% between 2000 and 2010 and at least 7% since 2011. The tourism, garment, construction and real estate, and agriculture sectors accounted for the bulk of growth. Around 600,000 people, the majority of whom are women, are employed in the garment and footwear sector. An additional 500,000 Cambodians are employed in the tourism sector, and a further 50,000 people in construction. Tourism has continued to grow rapidly with foreign arrivals exceeding 2 million per year since 2007 and reaching around 4.5 million visitors in 2014. Mining also is attracting some investor interest and the government has touted opportunities for mining bauxite, gold, iron and gems. |
| Economy - overview: | Cambodia remains one of the poorest countries in Asia and long-term economic development remains a daunting challenge, inhibited by endemic corruption, limited human resources, high income inequality, and poor job prospects. As of 2012, approximately 2.66 million people live on less than $1.20 per day, and 37% of Cambodian children under the age of 5 suffer from chronic malnutrition. More than 50% of the population is less than 25 years old. The population lacks education and productive skills, particularly in the impoverished countryside, which also lacks basic infrastructure. |
| Economy - overview: | The World Bank in 2016 formally reclassified Cambodia as a lower middle-income country as a result of continued rapid economic growth over the past several years. Cambodia’s graduation from a low-income country will reduce its eligibility for foreign assistance and will challenge the government to seek new sources of financing in 2017. The Cambodian Government has been working with bilateral and multilateral donors, including the Asian Development Bank, the World Bank and IMF, to address the country's many pressing needs; more than 30% of the government budget comes from donor assistance. A major economic challenge for Cambodia over the next decade will be fashioning an economic environment in which the private sector can create enough jobs to handle Cambodia's demographic imbalance. |
| GDP (purchasing power parity): | $59.02 billion (2016 est.) |
| GDP (purchasing power parity): | $54.44 billion (2015 est.) |
| GDP (purchasing power parity): | $50.24 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $20.16 billion (2016 est.) |
| GDP - real growth rate: | 7% (2016 est.) |
| GDP - real growth rate: | 7.2% (2015 est.) |
| GDP - real growth rate: | 7.1% (2014 est.) |
| GDP - per capita (PPP): | $3,700 (2016 est.) |
| GDP - per capita (PPP): | $3,500 (2015 est.) |
| GDP - per capita (PPP): | $3,400 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 14.1% of GDP (2016 est.) |
| Gross national saving: | 13.1% of GDP (2015 est.) |
| Gross national saving: | 13.4% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 76.1% |
| GDP - composition, by end use: | government consumption: 5.2% |
| GDP - composition, by end use: | investment in fixed capital: 21.7% |
| GDP - composition, by end use: | investment in inventories: 1.4% |
| GDP - composition, by end use: | exports of goods and services: 61.3% |
| GDP - composition, by end use: | imports of goods and services: -65.7% (2016 est.) |
