| Economy | URUGUAY |
| --- | --- |
| Economy - overview: | Uruguay has a free market economy characterized by an export-oriented agricultural sector, a well-educated workforce, and high levels of social spending. Uruguay has sought to expand trade within the Common Market of the South (Mercosur) and with non-Mercosur members, and President VAZQUEZ has maintained his predecessor’s mix of pro-market policies and a strong social safety net. |
| Economy - overview: | Following financial difficulties in the late 1990s and early 2000s, Uruguay's economic growth averaged 8% annually during the period 2004-08. The 2008-09 global financial crisis put a brake on Uruguay's vigorous growth, which decelerated to 2.6% in 2009. Nevertheless, the country managed to avoid a recession and keep positive growth rates, mainly through higher public expenditure and investment; GDP growth reached 8.9% in 2010 but slowed markedly in the period 2012-16 as a result of a renewed slowdown in the global economy and in Uruguay's main trade partners and Mercosur counterparts, Argentina and Brazil. Reforms in those countries should give Uruguay an economic boost. |
| GDP (purchasing power parity): | $74.46 billion (2016 est.) |
| GDP (purchasing power parity): | $72.47 billion (2015 est.) |
| GDP (purchasing power parity): | $71.43 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $52.42 billion (2016 est.) |
| GDP - real growth rate: | 1.5% (2016 est.) |
| GDP - real growth rate: | 0.4% (2015 est.) |
| GDP - real growth rate: | 3.2% (2014 est.) |
| GDP - per capita (PPP): | $21,400 (2016 est.) |
| GDP - per capita (PPP): | $21,200 (2015 est.) |
| GDP - per capita (PPP): | $21,200 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 18.6% of GDP (2016 est.) |
| Gross national saving: | 17.6% of GDP (2015 est.) |
| Gross national saving: | 16.7% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 65.7% |
| GDP - composition, by end use: | government consumption: 14.5% |
| GDP - composition, by end use: | investment in fixed capital: 18.9% |
| GDP - composition, by end use: | investment in inventories: -0.2% |
| GDP - composition, by end use: | exports of goods and services: 21.4% |
| GDP - composition, by end use: | imports of goods and services: -20.2% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.8% |
| GDP - composition, by sector of origin: | industry: 27.4% |
| GDP - composition, by sector of origin: | services: 65.9% (2016 est.) |
| Agriculture - products: | Cellulose, beef, soybeans, rice, wheat; dairy products; fish; lumber, tobacco, wine |
| Industries: | food processing, electrical machinery, transportation equipment, petroleum products, textiles, chemicals, beverages |
| Industrial production growth rate: | 1% (2016 est.) |
| Labor force: | 1.736 million (2016 est.) |
| Labor force - by occupation: | agriculture: 13% |
| Labor force - by occupation: | industry: 14% |
| Labor force - by occupation: | services: 73% (2010 est.) |
| Unemployment rate: | 7.9% (2016 est.) |
| Unemployment rate: | 7.9% (2015 est.) |
| Population below poverty line: | 9.7% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.9% |
| Household income or consumption by percentage share: | highest 10%: 30.8% (2014 est.) |
| Distribution of family income - Gini index: | 41.6 (2014) |
| Distribution of family income - Gini index: | 41.9 (2013) |
| Budget: | revenues: $15.35 billion |
| Budget: | expenditures: $17.47 billion (2016 est.) |
| Taxes and other revenues: | 28.1% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -3.9% of GDP (2016 est.) |
| Public debt: | 62.7% of GDP (2016 est.) |
| Public debt: | 64.2% of GDP (2015 est.) |
| Public debt: | note: data cover general government debt, and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions. |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 9.6% (2016 est.) |
| Inflation rate (consumer prices): | 8.7% (2015 est.) |
| Central bank discount rate: | 9% (31 December 2012) |
| Central bank discount rate: | 8.75% (31 December 2011) |
| Central bank discount rate: | note: Uruguay's central bank uses the benchmark interest rate, rather than the discount rate, to conduct monetary policy; the rates shown here are the benchmark rates |
| Commercial bank prime lending rate: | 16.17% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 15.84% (31 December 2015 est.) |
| Stock of narrow money: | $4.582 billion (31 December 2016 est.) |
| Stock of narrow money: | $4.162 billion (31 December 2015 est.) |
| Stock of broad money: | $8.781 billion (31 December 2016 est.) |
| Stock of broad money: | $7.43 billion (31 December 2015 est.) |
| Stock of domestic credit: | $19.61 billion (31 December 2016 est.) |
| Stock of domestic credit: | $17.8 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $175.4 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $174.6 million (31 December 2011 est.) |
| Market value of publicly traded shares: | $156.9 million (31 December 2010 est.) |
| Current account balance: | $-36 million (2016 est.) |
| Current account balance: | $-1.14 billion (2015 est.) |
| Exports: | $8.387 billion (2016 est.) |
| Exports: | $9.091 billion (2015 est.) |
| Exports - commodities: | beef, soybeans, cellulose, rice, wheat, wood, dairy products, wool |
| Exports - partners: | Brazil 16.4%, China 12.2%, US 6.2%, Argentina 5% (2016) |
| Imports: | $8.037 billion (2016 est.) |
| Imports: | $9.334 billion (2015 est.) |
| Imports - commodities: | refined oil, crude oil, passenger and other transportation vehicles, vehicle parts, cellular phones |
| Imports - partners: | China 18.8%, Brazil 17.9%, Argentina 13.3%, US 6.9%, Germany 4.7% (2016) |
| Reserves of foreign exchange and gold: | $13.47 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $15.63 billion (31 December 2015 est.) |
| Debt - external: | $27.9 billion (31 December 2016 est.) |
| Debt - external: | $27.32 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $22.81 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $21.81 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $136.1 million (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $136.9 million (31 December 2015 est.) |
| Exchange rates: | Uruguayan pesos (UYU) per US dollar - |
| Exchange rates: | 30.163 (2016 est.) |
| Exchange rates: | 30.163 (2015 est.) |
| Exchange rates: | 27.52 (2014 est.) |
| Exchange rates: | 23.246 (2013 est.) |
| Exchange rates: | 20.31 (2012 est.) |
