| Economy | SOUTH AFRICA |
| --- | --- |
| Economy - overview: | South Africa is a middle-income emerging market with an abundant supply of natural resources; well-developed financial, legal, communications, energy, and transport sectors; and a stock exchange that is Africa’s largest and among the top 20 in the world. |
| Economy - overview: | Economic growth has decelerated in recent years, slowing to just 1.5% in 2014. Unemployment, poverty, and inequality - among the highest in the world - remain a challenge. Official unemployment is roughly 25% of the workforce, and runs significantly higher among black youth. Even though the country's modern infrastructure supports a relatively efficient distribution of goods to major urban centers throughout the region, unstable electricity supplies retard growth. Eskom, the state-run power company, is building three new power stations and is installing new power demand management programs to improve power grid reliability. Load shedding and resulting rolling blackouts gripped many parts of South Africa in late 2014 and early 2015 because of electricity supply constraints due to technical problems at some generation units, unavoidable planned maintenance, and an accident at a power station in Mpumalanga province. The rolling blackouts were the worst the country faced since 2008. Construction delays at two additional plants, however, mean South Africa will continue to operate on a razor thin margin; economists judge that growth cannot exceed 3% until electrical supply problems are resolved. |
| Economy - overview: | South Africa's economic policy has focused on controlling inflation; however, the country faces structural constraints that also limit economic growth, such as skills shortages, declining global competitiveness, and frequent work stoppages due to strike action. The current government faces growing pressure from urban constituencies to improve the delivery of basic services to low-income areas and to increase job growth. |
| GDP (purchasing power parity): | $723.5 billion (2015 est.) |
| GDP (purchasing power parity): | $714.4 billion (2014 est.) |
| GDP (purchasing power parity): | $703.5 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $313 billion (2015 est.) |
| GDP - real growth rate: | 1.3% (2015 est.) |
| GDP - real growth rate: | 1.5% (2014 est.) |
| GDP - real growth rate: | 2.2% (2013 est.) |
| GDP - per capita (PPP): | $13,200 (2015 est.) |
| GDP - per capita (PPP): | $13,200 (2014 est.) |
| GDP - per capita (PPP): | $13,200 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 16.4% of GDP (2015 est.) |
| Gross national saving: | 15.3% of GDP (2014 est.) |
| Gross national saving: | 15.3% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 60.2% |
| GDP - composition, by end use: | government consumption: 20.7% |
| GDP - composition, by end use: | investment in fixed capital: 20.6% |
| GDP - composition, by end use: | investment in inventories: -0.5% |
| GDP - composition, by end use: | exports of goods and services: 30.7% |
| GDP - composition, by end use: | imports of goods and services: -31.7% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.4% |
| GDP - composition, by sector of origin: | industry: 28.9% |
| GDP - composition, by sector of origin: | services: 68.7% (2015 est.) |
| Agriculture - products: | corn, wheat, sugarcane, fruits, vegetables; beef, poultry, mutton, wool, dairy products |
| Industries: | mining (world's largest producer of platinum, gold, chromium), automobile assembly, metalworking, machinery, textiles, iron and steel, chemicals, fertilizer, foodstuffs, commercial ship repair |
| Industrial production growth rate: | 0.9% (2015 est.) |
| Labor force: | 21.09 million (2015 est.) |
| Labor force - by occupation: | agriculture: 4% |
| Labor force - by occupation: | industry: 18% |
| Labor force - by occupation: | services: 66% (2014 est.) |
| Unemployment rate: | 25.4% (2015 est.) |
| Unemployment rate: | 25.1% (2014 est.) |
| Population below poverty line: | 35.9% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.2% |
| Household income or consumption by percentage share: | highest 10%: 51.7% (2009 est.) |
| Distribution of family income - Gini index: | 62.5 (2013 est.) |
| Distribution of family income - Gini index: | 59.3 (1994) |
| Budget: | revenues: $85.82 billion |
| Budget: | expenditures: $96.1 billion (2015 est.) |
| Taxes and other revenues: | 27.4% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -3.3% of GDP (2015 est.) |
| Public debt: | 44.4% of GDP (2015 est.) |
| Public debt: | 44.1% of GDP (2014 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 4.5% (2015 est.) |
| Inflation rate (consumer prices): | 6.1% (2014 est.) |
| Central bank discount rate: | 5.75% (31 December 2014) |
| Central bank discount rate: | 7% (31 December 2009) |
| Commercial bank prime lending rate: | 9.42% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 9.13% (31 December 2014 est.) |
| Stock of narrow money: | $91.72 billion (31 December 2015 est.) |
| Stock of narrow money: | $107.5 billion (31 December 2014 est.) |
| Stock of broad money: | $172.7 billion (31 December 2015 est.) |
| Stock of broad money: | $192.9 billion (31 December 2014 est.) |
| Stock of domestic credit: | $196.6 billion (31 December 2015 est.) |
| Stock of domestic credit: | $245.5 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.007 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.038 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $855.7 billion (31 December 2013 est.) |
| Current account balance: | -$13.67 billion (2015 est.) |
| Current account balance: | -$19.06 billion (2014 est.) |
| Exports: | $81.63 billion (2015 est.) |
| Exports: | $92.75 billion (2014 est.) |
| Exports - commodities: | gold, diamonds, platinum, other metals and minerals, machinery and equipment |
| Exports - partners: | China 11.3%, US 7.3%, Germany 6%, Namibia 5.2%, Botswana 5.2%, Japan 4.7%, UK 4.3%, India 4.2% (2015) |
| Imports: | $84.33 billion (2015 est.) |
| Imports: | $98.62 billion (2014 est.) |
| Imports - commodities: | machinery and equipment, chemicals, petroleum products, scientific instruments, foodstuffs |
| Imports - partners: | China 17.6%, Germany 11.2%, US 6.7%, Nigeria 5%, India 4.7%, Saudi Arabia 4.1% (2015) |
| Reserves of foreign exchange and gold: | $45.91 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $49.09 billion (31 December 2014 est.) |
| Debt - external: | $131.7 billion (31 December 2015 est.) |
| Debt - external: | $144 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $124.9 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $138.9 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $162.8 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $146 billion (31 December 2014 est.) |
| Exchange rates: | rand (ZAR) per US dollar - |
| Exchange rates: | 12.7581 (2015 est.) |
| Exchange rates: | 10.8469 (2014 est.) |
| Exchange rates: | 10.8469 (2013 est.) |
| Exchange rates: | 8.2 (2012 est.) |
| Exchange rates: | 7.2597 (2011 est.) |
