| Economy | MAURITANIA |
| --- | --- |
| Economy - overview: | Mauritania's economy is dominated by extractive industries (oil and mines), fisheries and agriculture. Half the population still depends on farming and raising livestock, even though many nomads and subsistence farmers were forced into the cities by recurrent droughts in the 1970s, 1980s and 2000s. Recently, GDP growth has been driven largely by foreign investment in the mining and oil sectors. |
| Economy - overview: | Mauritania's extensive mineral resources include iron ore, gold, copper, gypsum, and phosphate rock, and exploration is ongoing for tantalum, uranium, crude oil, and natural gas. Extractive commodities make up about three-quarters of Mauritania's total exports, subjecting the economy to price swings in world commodity markets. Mining is also a growing source of government revenue, rising from 13% to 30% of total revenue from 2006 to 2016. The nation's coastal waters are among the richest fishing areas in the world, and fishing accounts for about 20% of budget revenues, 45% of foreign currency earnings. Mauritania processes a total of 1,800,000 tons of fish per year, but overexploitation by foreign and national fleets threaten the sustainability of this key source of revenue. |
| Economy - overview: | The economy is highly sensitive to international food and extractive commodity prices. Other risks to Mauritania's economy include its recurring droughts, dependence on foreign aid and investment, and insecurity in neighboring Mali, as well as significant shortages of infrastructure, institutional capacity, and human capital. Mauritania has sought additional IMF support by focusing efforts on poverty reduction. Investment in agriculture and infrastructure are the largest components of the country’s public expenditures. |
| GDP (purchasing power parity): | $16.45 billion (2016 est.) |
| GDP (purchasing power parity): | $15.96 billion (2015 est.) |
| GDP (purchasing power parity): | $15.65 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $4.729 billion (2016 est.) |
| GDP - real growth rate: | 1.7% (2016 est.) |
| GDP - real growth rate: | 0.9% (2015 est.) |
| GDP - real growth rate: | 5.6% (2014 est.) |
| GDP - per capita (PPP): | $4,300 (2016 est.) |
| GDP - per capita (PPP): | $4,400 (2015 est.) |
| GDP - per capita (PPP): | $4,400 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 24.7% of GDP (2016 est.) |
| Gross national saving: | 18.9% of GDP (2015 est.) |
| Gross national saving: | 25% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 52.8% |
| GDP - composition, by end use: | government consumption: 18.8% |
| GDP - composition, by end use: | investment in fixed capital: 45.1% |
| GDP - composition, by end use: | investment in inventories: 19.6% |
| GDP - composition, by end use: | exports of goods and services: 26.9% |
| GDP - composition, by end use: | imports of goods and services: -63.2% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 21.9% |
| GDP - composition, by sector of origin: | industry: 38.4% |
| GDP - composition, by sector of origin: | services: 39.7% (2016 est.) |
| Agriculture - products: | dates, millet, sorghum, rice, corn; cattle, camel and sheep |
| Industries: | fish processing, oil production, mining (iron ore, gold, copper) |
| Industries: | note: gypsum deposits have never been exploited |
| Industrial production growth rate: | -1.2% (2016 est.) |
| Labor force: | 1.186 million (2016 est.) |
| Labor force - by occupation: | agriculture: 50% |
| Labor force - by occupation: | industry: 1.9% |
| Labor force - by occupation: | services: 48.1% (2014 est.) |
| Unemployment rate: | 11.7% (2016 est.) |
| Unemployment rate: | 11.1% (2015 est.) |
| Population below poverty line: | 31% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.5% |
| Household income or consumption by percentage share: | highest 10%: 29.5% (2000) |
| Distribution of family income - Gini index: | 37 (2014) |
| Distribution of family income - Gini index: | 39 (2006 est.) |
| Budget: | revenues: $1.25 billion |
| Budget: | expenditures: $1.322 billion (2016 est.) |
| Taxes and other revenues: | 26.5% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -1.5% of GDP (2016 est.) |
| Public debt: | 99.6% of GDP (2016 est.) |
| Public debt: | 98.4% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.5% (2016 est.) |
| Inflation rate (consumer prices): | 0.5% (2015 est.) |
| Central bank discount rate: | 9% (31 December 2009) |
| Central bank discount rate: | 12% (31 December 2007) |
| Commercial bank prime lending rate: | 17% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 17% (31 December 2015 est.) |
| Stock of domestic credit: | $1.495 billion (31 December 2016 est.) |
| Stock of domestic credit: | $1.539 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-707 million (2016 est.) |
| Current account balance: | $-1.066 billion (2015 est.) |
| Exports: | $1.401 billion (2016 est.) |
| Exports: | $1.389 billion (2015 est.) |
| Exports - commodities: | iron ore, fish and fish products, livestock, gold, copper, crude oil |
| Exports - partners: | China 36.9%, Switzerland 13.5%, Spain 8.9%, Japan 7.5%, Russia 4.8%, Nigeria 4.1%, Italy 4.1% (2016) |
| Imports: | $1.9 billion (2016 est.) |
| Imports: | $1.948 billion (2015 est.) |
| Imports - commodities: | machinery and equipment, petroleum products, capital goods, foodstuffs, consumer goods |
| Imports - partners: | US 13.4%, UAE 11.9%, Belgium 9.2%, China 8.9%, Netherlands 7.1%, France 6.6%, Morocco 6.3%, Vanuatu 5% (2016) |
| Debt - external: | $3.899 billion (31 December 2016 est.) |
| Debt - external: | $3.691 billion (31 December 2015 est.) |
| Exchange rates: | ouguiyas (MRO) per US dollar - |
| Exchange rates: | 352.37 (2016 est.) |
| Exchange rates: | 352.37 (2015 est.) |
| Exchange rates: | 319.7 (2014 est.) |
| Exchange rates: | 299.5 (2013 est.) |
| Exchange rates: | 296.6 (2012 est.) |
