| Economy | ARGENTINA |
| --- | --- |
| Economy - overview: | Argentina benefits from rich natural resources, a highly literate population, an export-oriented agricultural sector, and a diversified industrial base. Although one of the world's wealthiest countries 100 years ago, Argentina suffered during most of the 20th century from recurring economic crises, persistent fiscal and current account deficits, high inflation, mounting external debt, and capital flight. In 2016, the World Bank downgraded Argentina from a high-income to upper-middle-income economy, on par with Columbia. |
| Economy - overview: | A severe depression, growing public and external indebtedness, and an unprecedented bank run culminated in 2001 in the most serious economic, social, and political crisis in the country's turbulent history. Interim President Adolfo RODRIGUEZ SAA declared a default - at the time the largest ever - on the government's foreign debt in December of that year, and abruptly resigned only a few days after taking office. His successor, Eduardo DUHALDE, announced an end to the peso's decade-long 1-to-1 peg to the US dollar in early 2002. The economy bottomed out that year, with real GDP 18% smaller than in 1998 and almost 60% of Argentines below the poverty line. Real GDP rebounded to grow by an average 8.5% annually over the subsequent six years, taking advantage of previously idled industrial capacity and labor, and expansionary monetary and fiscal policies. Inflation also increased, however, during the administration of President Nestor KIRCHNER, which responded with price restraints on businesses, as well as export taxes and restraints, and beginning in 2007, with understating inflation data. |
| Economy - overview: | Cristina FERNANDEZ DE KIRCHNER succeeded her husband as president in late 2007, and the rapid economic growth of previous years began to slow sharply the following year as government policies held back exports and the world economy fell into recession. The economy in 2010 rebounded strongly from the 2009 recession, but slowed in late 2011 even as the government continued to rely on expansionary fiscal and monetary policies, which kept inflation in the double digits. |
| Economy - overview: | In order to deal with these problems, the government expanded state intervention in the economy: it nationalized the oil company YPF from Spain's Repsol, expanded measures to restrict imports, and further tightened currency controls in an effort to bolster foreign reserves and stem capital flight. Between 2011 and 2013, Central Bank foreign reserves dropped $21.3 billion from a high of $52.7 billion. In July 2014, Argentina and China agreed on an $11 billion currency swap; the Argentine Central Bank has received the equivalent of $3.2 billion in Chinese yuan, which it counts as international reserves. |
| Economy - overview: | With the election of President Mauricio MACRI in November 2015, Argentina began a historic political and economic transformation, as his administration took steps to liberalize the Argentine economy, lifting capital controls, floating the peso, removing export controls on some commodities, cutting some energy subsidies, and reforming the country’s official statistics. Argentina negotiated debt payments with holdout bond creditors and returned to international capital markets in April 2016. In September 2016, Argentina completed its first IMF Article IV Consultation since 2006. |
| Economy - overview: | After years of international isolation, Argentina has taken on several international leadership roles in 2017, including hosting the World Economic Forum on Latin America and the World Trade Organization Ministerial Conference, and is set to assume the presidency of the G-20 in 2018. |
| GDP (purchasing power parity): | $874.3 billion (2016 est.) |
| GDP (purchasing power parity): | $883.1 billion (2015 est.) |
| GDP (purchasing power parity): | $851.1 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $544.7 billion (2016 est.) |
| GDP - real growth rate: | -2.2% (2016 est.) |
| GDP - real growth rate: | 2.6% (2015 est.) |
| GDP - real growth rate: | -2.5% (2014 est.) |
| GDP - per capita (PPP): | $20,100 (2016 est.) |
| GDP - per capita (PPP): | $20,700 (2015 est.) |
| GDP - per capita (PPP): | $20,400 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 13.6% of GDP (2016 est.) |
| Gross national saving: | 14.2% of GDP (2015 est.) |
| Gross national saving: | 15.7% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 66.1% |
| GDP - composition, by end use: | government consumption: 18.4% |
| GDP - composition, by end use: | investment in fixed capital: 14.8% |
| GDP - composition, by end use: | investment in inventories: 1.5% |
| GDP - composition, by end use: | exports of goods and services: 12.8% |
| GDP - composition, by end use: | imports of goods and services: -13.5% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 10.6% |
| GDP - composition, by sector of origin: | industry: 28.3% |
| GDP - composition, by sector of origin: | services: 61.1% (2016 est.) |
| Agriculture - products: | sunflower seeds, lemons, soybeans, grapes, corn, tobacco, peanuts, tea, wheat; livestock |
| Industries: | food processing, motor vehicles, consumer durables, textiles, chemicals and petrochemicals, printing, metallurgy, steel |
| Industrial production growth rate: | -5.8% |
| Industrial production growth rate: | note: based on private sector estimates (2016 est.) |
| Labor force: | 17.76 million |
| Labor force: | note: urban areas only (2016 est.) |
| Labor force - by occupation: | agriculture: 0.5% |
| Labor force - by occupation: | industry: 24.8% |
| Labor force - by occupation: | services: 74.7% (2014 est.) |
| Unemployment rate: | 8.5% (2016 est.) |
| Unemployment rate: | 6.5% (2015 est.) |
| Population below poverty line: | 32.2% |
| Population below poverty line: | note: data are based on private estimates (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.6% |
| Household income or consumption by percentage share: | highest 10%: 30.8% (2014 est.) |
| Distribution of family income - Gini index: | 42.7 (2014) |
| Distribution of family income - Gini index: | 45.8 (2009) |
| Budget: | revenues: $110.4 billion |
| Budget: | expenditures: $142.6 billion (2016 est.) |
| Taxes and other revenues: | 20.3% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -5.9% of GDP (2016 est.) |
| Public debt: | 54.5% of GDP (2016 est.) |
| Public debt: | 54% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 42% (2016 est.) |
| Inflation rate (consumer prices): | 26.5% (2015 est.) |
| Inflation rate (consumer prices): | note: data are derived from private estimates |
| Central bank discount rate: | NA% |
| Commercial bank prime lending rate: | 31.23% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 24.92% (31 December 2015 est.) |
| Stock of narrow money: | $59 billion (31 December 2016 est.) |
| Stock of narrow money: | $52.3 billion (31 December 2015 est.) |
| Stock of broad money: | $146.5 billion (31 December 2016 est.) |
| Stock of broad money: | $125.6 billion (31 December 2015 est.) |
| Stock of domestic credit: | $194 billion (31 December 2016 est.) |
| Stock of domestic credit: | $182.2 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $56.13 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $60.14 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $53.1 billion (31 December 2013 est.) |
| Current account balance: | $-14.9 billion (2016 est.) |
| Current account balance: | $-17.17 billion (2015 est.) |
| Exports: | $57.78 billion (2016 est.) |
| Exports: | $56.81 billion (2015 est.) |
| Exports - commodities: | soybeans and derivatives, petroleum and gas, vehicles, corn, wheat |
| Exports - partners: | Brazil 15.5%, US 7.7%, China 7.6%, Vietnam 4.4% (2016) |
| Imports: | $53.24 billion (2016 est.) |
| Imports: | $57.18 billion (2015 est.) |
| Imports - commodities: | machinery, motor vehicles, petroleum and natural gas, organic chemicals, plastics |
| Imports - partners: | Brazil 24.3%, China 18.7%, US 12.5%, Germany 5.5% (2016) |
| Reserves of foreign exchange and gold: | $38.43 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $25.52 billion (31 December 2015 est.) |
| Debt - external: | $190.2 billion (31 December 2016 est.) |
| Debt - external: | $159.7 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $72.11 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $79.77 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $39.74 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $37.84 billion (31 December 2015 est.) |
| Exchange rates: | Argentine pesos (ARS) per US dollar - |
| Exchange rates: | 14.92 (2016 est.) |
| Exchange rates: | 9.23 (2015 est.) |
| Exchange rates: | 9.23 (2014 est.) |
| Exchange rates: | 8.08 (2013 est.) |
| Exchange rates: | 4.54 (2012 est.) |
