| Economy | SLOVAKIA |
| Budget surplus (+) or deficit (-): | -3% of GDP (2015 est.) |
| Public debt: | 52.9% of GDP (2015 est.) |
| Public debt: | 53.9% of GDP (2014 est.) |
| Public debt: | note: data cover general Government Gross Debt, and includes debt instruments issued (or owned) by Government entities, including sub-sectors of central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.3% (2015 est.) |
| Inflation rate (consumer prices): | -0.1% (2014 est.) |
| Central bank discount rate: | 0.05% (9 December 2015) |
| Central bank discount rate: | 0.05% (10 September 2014) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks from the euro area; Slovakia became a member of the Economic and Monetary Union (EMU) on 1 January 2009 |
| Commercial bank prime lending rate: | 2.78% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 3.2% (31 December 2014 est.) |
| Stock of narrow money: | $43 billion (31 December 2015 est.) |
| Stock of narrow money: | $41.69 billion (31 December 2014 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $53.7 billion (31 December 2015 est.) |
| Stock of broad money: | $48.34 billion (31 December 2014 est.) |
| Stock of domestic credit: | $67.67 billion (31 December 2015 est.) |
| Stock of domestic credit: | $65.76 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $4.634 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $4.732 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $4.805 billion (31 December 2013 est.) |
| Current account balance: | -$996 million (2015 est.) |
| Current account balance: | $133 million (2014 est.) |
| Exports: | $73.12 billion (2015 est.) |
| Exports: | $83.16 billion (2014 est.) |
| Exports - commodities: | vehicles and related parts 27%, machinery and electrical equipment 20%, nuclear reactors and furnaces 12%, iron and steel 4%, mineral oils and fuels 5% (2015 est.) |
| Exports - partners: | Germany 22.7%, Czech Republic 12.5%, Poland 8.5%, Austria 5.7%, Hungary 5.7%, France 5.6%, UK 5.5%, Italy 4.5% (2015) |
| Imports: | $71.09 billion (2015 est.) |
| Imports: | $79.36 billion (2014 est.) |
| Imports - commodities: | machinery and electrical equipment 20%, vehicles and related parts 14%, nuclear reactors and furnaces 12%, fuel and mineral oils 9% (2015 est.) |
| Imports - partners: | Germany 19.4%, Czech Republic 17.4%, Austria 9.1%, Hungary 6.3%, Poland 6.3%, South Korea 5.5%, Russia 5.2%, China 4.1% (2015) |
| Reserves of foreign exchange and gold: | $2.892 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $2.614 billion (31 December 2014 est.) |
| Debt - external: | $67.66 billion (30 September 2015 est.) |
| Debt - external: | $67.78 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $56.31 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $59.94 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $10.71 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $10.44 billion (31 December 2014 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.7525 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
