| Economy | SLOVAKIA |
| --- | --- |
| Economy - overview: | Slovakia has made significant economic reforms since its separation from the Czech Republic in 1993. With a population of 5.4 million, the Slovak Republic has a small, open economy, with exports, at about 93% of GDP, serving as the main driver of GDP growth. Slovakia joined the EU in 2004 and the euro zone in 2009. The country’s banking sector is sound. |
| Economy - overview: | Slovakia has led the region garnering FDI, because of its relatively low-cost, highly-skilled labor force, reasonable tax rates, and favorable geographic location in the heart of Central Europe. However, recent increases in corporate taxes, as well as changes to the Labor Code, slow dispute resolution, and ongoing corruption potentially threaten the attractiveness of the Slovak market. Moreover, the energy sector is characterized by high costs, unpredictable regulatory oversight, and growing government interference. |
| GDP (purchasing power parity): | $161 billion (2015 est.) |
| GDP (purchasing power parity): | $155.4 billion (2014 est.) |
| GDP (purchasing power parity): | $151.6 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $86.63 billion (2015 est.) |
| GDP - real growth rate: | 3.6% (2015 est.) |
| GDP - real growth rate: | 2.5% (2014 est.) |
| GDP - real growth rate: | 1.4% (2013 est.) |
| GDP - per capita (PPP): | $29,700 (2015 est.) |
| GDP - per capita (PPP): | $28,700 (2014 est.) |
| GDP - per capita (PPP): | $28,000 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 21.6% of GDP (2015 est.) |
| Gross national saving: | 21.1% of GDP (2014 est.) |
| Gross national saving: | 22.9% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 56% |
| GDP - composition, by end use: | government consumption: 19% |
| GDP - composition, by end use: | investment in fixed capital: 23% |
| GDP - composition, by end use: | investment in inventories: -0.4% |
| GDP - composition, by end use: | exports of goods and services: 93.8% |
| GDP - composition, by end use: | imports of goods and services: -91.4% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.7% |
| GDP - composition, by sector of origin: | industry: 31.1% |
| GDP - composition, by sector of origin: | services: 65.3% (2015 est.) |
| Agriculture - products: | grains, potatoes, sugar beets, hops, fruit; pigs, cattle, poultry; forest products |
| Industries: | automobiles; metal and metal products; electricity, gas, coke, oil, nuclear fuel; chemicals, synthetic fibers, wood and paper products; machinery; earthenware and ceramics; textiles; electrical and optical apparatus; rubber products; food and beverages; pharmaceutical |
| Industrial production growth rate: | 7.4% (2015 est.) |
| Labor force: | 2.719 million (2015 est.) |
| Labor force - by occupation: | agriculture: 4.2% |
| Labor force - by occupation: | industry: 22.6% |
| Labor force - by occupation: | services: 73.2% (2015) |
| Unemployment rate: | 11.5% (2015 est.) |
| Unemployment rate: | 12.8% (2014 est.) |
| Population below poverty line: | 12.6% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4.4% |
| Household income or consumption by percentage share: | highest 10%: 26% (2013 est.) |
| Distribution of family income - Gini index: | 26 (2013) |
| Distribution of family income - Gini index: | 25.7 (2011) |
| Budget: | revenues: $36.95 billion |
| Budget: | expenditures: $39.53 billion (2015 est.) |
| Taxes and other revenues: | 42.7% of GDP (2015 est.) |
