| Economy | MONGOLIA |
| --- | --- |
| Economy - overview: | Foreign direct investment in Mongolia's extractive industries – which are based on extensive deposits of copper, gold, coal, molybdenum, fluorspar, uranium, tin, and tungsten - has transformed Mongolia's landlocked economy from its traditional dependence on herding and agriculture. Exports now account for more than half of GDP. Mongolia depends on China for more than 60% of its external trade - China receives some 90% of Mongolia's exports and supplies Mongolia with more than one-third of its imports. Mongolia also relies on Russia for 90% of its energy supplies, leaving it vulnerable to price increases. Remittances from Mongolians working abroad, particularly in South Korea, are significant. |
| Economy - overview: | Soviet assistance, at its height one-third of GDP, disappeared almost overnight in 1990 and 1991 at the time of the dismantlement of the USSR. The following decade saw Mongolia endure both deep recession, because of political inaction, and natural disasters, as well as strong economic growth, because of market reforms and extensive privatization of the formerly state-run economy. The country opened a fledgling stock exchange in 1991. Mongolia joined the WTO in 1997 and seeks to expand its participation in regional economic and trade regimes. |
| Economy - overview: | Growth averaged nearly 9% per year in 2004-08 largely because of high copper prices globally and new gold production. By late 2008, Mongolia was hit by the global financial crisis and Mongolia's real economy contracted 1.3% in 2009. In early 2009, the IMF reached a $236 million Stand-by Arrangement with Mongolia and it emerged from the crisis with a stronger banking sector and better fiscal management. In October 2009, Mongolia passed long-awaited legislation on an investment agreement to develop the Oyu Tolgoi (OT) mine, among the world's largest untapped copper-gold deposits. However, a dispute with foreign investors developing OT called into question the attractiveness of Mongolia as a destination for foreign investment. This caused a severe drop in FDI, and a slowing economy, leading to the dismissal of Prime Minister ALTANKHUYAG in November 2014. The economy had grown more than 10% per year between 2011 and 2013 - largely on the strength of commodity exports and high government spending - before slowing to 7.8% in 2014 and 2.3% in 2015. |
| Economy - overview: | The current government has made restoring investor trust and reviving the economy its top priority, but has failed to invigorate the economy in the face of the large drop off in foreign direct investment. Mongolia's economy faces near-term economic risks from the government's loose fiscal and monetary policies, from uncertainties in foreign demand for Mongolian exports, and on Mongolia's ability to access financing. The May 2015 agreement with Rio Tinto to restart the OT mine and the subsequent $4.4 billion finance package signing in December 2015 have served to increase investor confidence but are unlikely to overcome the downward economic pressures in the short term. |
| GDP (purchasing power parity): | $36.07 billion (2015 est.) |
| GDP (purchasing power parity): | $35.26 billion (2014 est.) |
| GDP (purchasing power parity): | $32.68 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $11.74 billion (2015 est.) |
| GDP - real growth rate: | 2.3% (2015 est.) |
| GDP - real growth rate: | 7.9% (2014 est.) |
| GDP - real growth rate: | 11.6% (2013 est.) |
| GDP - per capita (PPP): | $12,100 (2015 est.) |
| GDP - per capita (PPP): | $12,100 (2014 est.) |
| GDP - per capita (PPP): | $11,300 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 20.7% of GDP (2015 est.) |
| Gross national saving: | 23.7% of GDP (2014 est.) |
| Gross national saving: | 27.9% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 58.8% |
| GDP - composition, by end use: | government consumption: 11.9% |
| GDP - composition, by end use: | investment in fixed capital: 18.2% |
| GDP - composition, by end use: | investment in inventories: 8.3% |
| GDP - composition, by end use: | exports of goods and services: 44.9% |
| GDP - composition, by end use: | imports of goods and services: -42% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 14.9% |
| GDP - composition, by sector of origin: | industry: 34.1% |
| GDP - composition, by sector of origin: | services: 51.1% (2015 est.) |
| Agriculture - products: | wheat, barley, vegetables, forage crops; sheep, goats, cattle, camels, horses |
| Industries: | construction and construction materials; mining (coal, copper, molybdenum, fluorspar, tin, tungsten, gold); oil; food and beverages; processing of animal products, cashmere and natural fiber manufacturing |
| Industrial production growth rate: | 8.8% (2015 est.) |
| Labor force: | 1.164 million (2015 est.) |
| Labor force - by occupation: | agriculture: 28.6% |
| Labor force - by occupation: | industry: 21% |
| Labor force - by occupation: | services: 50.4% (2014) |
| Unemployment rate: | 8.3% (2015 est.) |
| Unemployment rate: | 4.8% (2014 est.) |
| Population below poverty line: | 21.6% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3% |
| Household income or consumption by percentage share: | highest 10%: 28.4% (2008) |
| Distribution of family income - Gini index: | 36.5 (2008) |
| Distribution of family income - Gini index: | 32.8 (2002) |
| Budget: | revenues: $2.994 billion |
| Budget: | expenditures: $3.354 billion (2015 est.) |
| Taxes and other revenues: | 25.5% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -3.1% of GDP (2015 est.) |
| Public debt: | 72% of GDP (31 September 2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 5.8% (2015 est.) |
| Inflation rate (consumer prices): | 13% (2014 est.) |
| Central bank discount rate: | 12% (14 January 2016) |
| Central bank discount rate: | 13% (15 January 2015) |
| Commercial bank prime lending rate: | 19.56% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 19.03% (31 December 2014 est.) |
| Stock of narrow money: | $844.4 million (31 December 2015 est.) |
| Stock of narrow money: | $963.5 million (31 December 2014 est.) |
| Stock of broad money: | $5.036 billion (31 December 2015 est.) |
| Stock of broad money: | $5.648 billion (31 December 2014 est.) |
| Stock of domestic credit: | $8.048 billion (31 December 2015 est.) |
| Stock of domestic credit: | $7.786 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $632.6 million (31 December 2015 est.) |
| Market value of publicly traded shares: | $766.1 million (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.095 billion (31 December 2013 est.) |
| Current account balance: | -$567 million (2015 est.) |
| Current account balance: | -$1.405 billion (2014 est.) |
| Exports: | $4.619 billion (2015 est.) |
| Exports: | $5.774 billion (2014 est.) |
| Exports - commodities: | copper, apparel, livestock, animal products, cashmere, wool, hides, fluorspar, other nonferrous metals, coal, crude oil |
| Exports - partners: | China 84%, Switzerland 9% (2015) |
| Imports: | $3.512 billion (2015 est.) |
| Imports: | $4.746 billion (2014 est.) |
| Imports - commodities: | machinery and equipment, fuel, cars, food products, industrial consumer goods, chemicals, building materials, cigarettes and tobacco, appliances, soap and detergent |
| Imports - partners: | China 39.9%, Russia 28.4%, Japan 6.4%, South Korea 6.2% (2015) |
| Debt - external: | $18.16 billion (31 December 2015 est.) |
| Debt - external: | $20.83 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $16.89 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $16.69 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $367.4 million (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $354.8 million (31 December 2014 est.) |
| Exchange rates: | togrog/tugriks (MNT) per US dollar - |
| Exchange rates: | 1,970.3 (2016 est.) |
| Exchange rates: | 1,817.9 (2014 est.) |
| Exchange rates: | 1,817.9 (2013 est.) |
| Exchange rates: | 1,357.6 (2012 est.) |
| Exchange rates: | 1,265.5 (2011 est.) |
