| Economy | MOROCCO |
| Exports - commodities: | clothing and textiles, automobiles, electric components, inorganic chemicals, transistors, crude minerals, fertilizers (including phosphates), petroleum products, citrus fruits, vegetables, fish |
| Exports - partners: | Spain 23.4%, France 21.1%, Italy 4.6% (2016) |
| Imports: | $36.59 billion (2016 est.) |
| Imports: | $33.31 billion (2015 est.) |
| Imports - commodities: | crude petroleum, textile fabric, telecommunications equipment, wheat, gas and electricity, transistors, plastics |
| Imports - partners: | Spain 15.7%, France 13.2%, China 9.1%, US 6.4%, Germany 5.9%, Italy 5.4%, Turkey 4.4% (2016) |
| Reserves of foreign exchange and gold: | $25.37 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $23.01 billion (31 December 2015 est.) |
| Debt - external: | $44.65 billion (31 December 2016 est.) |
| Debt - external: | $42.99 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $54.78 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $49.67 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $5.203 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $4.557 billion (31 December 2015 est.) |
| Exchange rates: | Moroccan dirhams (MAD) per US dollar - |
| Exchange rates: | 9.7787 (2016 est.) |
| Exchange rates: | 9.7787 (2015 est.) |
| Exchange rates: | 9.7351 (2014 est.) |
| Exchange rates: | 8.3798 (2013 est.) |
| Exchange rates: | 8.6 (2012 est.) |
