| Economy | MACEDONIA |
| --- | --- |
| Economy - overview: | Since its independence in 1991, Macedonia has made progress in liberalizing its economy and improving its business environment, but has lagged the Balkan region in attracting foreign investment. Corruption and weak rule of law remain significant problems. Some businesses complain of opaque regulations and unequal enforcement of the law. |
| Economy - overview: | Macedonia’s economy is closely linked to Europe as a customer for exports and source of investment, and has suffered as a result of prolonged weakness in the euro zone. Unemployment has remained consistently high at about 30% since 2008, but may be overstated based on the existence of an extensive gray market, estimated to be between 20% and 45% of GDP, which is not captured by official statistics. |
| Economy - overview: | Macedonia maintained macroeconomic stability through the global financial crisis by conducting prudent monetary policy, which keeps the domestic currency pegged against the euro, and by limiting fiscal deficits. The government has been loosening fiscal policy, however, and the budget deficit was 4.2% of GDP in both 2013 and 2014, gradually falling to 3.7% in 2015. By yearend 2015, public debt was 40.3%, which although low by regional comparison, is significant for a small economy. |
| GDP (purchasing power parity): | $29.04 billion (2015 est.) |
| GDP (purchasing power parity): | $28.01 billion (2014 est.) |
| GDP (purchasing power parity): | $27.05 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars; Macedonia has a large informal sector that may not be reflected in these data |
| GDP (official exchange rate): | $9.922 billion (2015 est.) |
| GDP - real growth rate: | 3.7% (2015 est.) |
| GDP - real growth rate: | 3.5% (2014 est.) |
| GDP - real growth rate: | 2.9% (2013 est.) |
| GDP - per capita (PPP): | $14,000 (2015 est.) |
| GDP - per capita (PPP): | $13,500 (2014 est.) |
| GDP - per capita (PPP): | $13,100 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 22.5% of GDP (2015 est.) |
| Gross national saving: | 21.2% of GDP (2014 est.) |
| Gross national saving: | 22.1% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 67.7% |
| GDP - composition, by end use: | government consumption: 16.7% |
| GDP - composition, by end use: | investment in fixed capital: 18.2% |
| GDP - composition, by end use: | investment in inventories: 13.7% |
| GDP - composition, by end use: | exports of goods and services: 48.5% |
| GDP - composition, by end use: | imports of goods and services: -64.8% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 11.2% |
| GDP - composition, by sector of origin: | industry: 26.1% |
| GDP - composition, by sector of origin: | services: 62.7% (2015 est.) |
| Agriculture - products: | grapes, tobacco, vegetables, fruits; milk, eggs |
| Industries: | food processing, beverages, textiles, chemicals, iron, steel, cement, energy, pharmaceuticals, automotive parts |
| Industrial production growth rate: | 7.8% (2015 est.) |
| Labor force: | 954,900 (2015 est.) |
| Labor force - by occupation: | agriculture: 18.3% |
| Labor force - by occupation: | industry: 29.1% |
| Labor force - by occupation: | services: 52.6% (2014 est.) |
| Unemployment rate: | 26.1% (2015 est.) |
| Unemployment rate: | 28% (2014 est.) |
| Population below poverty line: | 30.4% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.2% |
| Household income or consumption by percentage share: | highest 10%: 34.5% (2009 est.) |
| Distribution of family income - Gini index: | 43.6 (2013) |
| Distribution of family income - Gini index: | 39.2 (2011) |
| Budget: | revenues: $2.903 billion |
| Budget: | expenditures: $3.252 billion (2015 est.) |
| Taxes and other revenues: | 29.3% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -3.5% of GDP (2015 est.) |
| Public debt: | 46.5% of GDP (2015 est.) |
| Public debt: | 46% of GDP (2014 est.) |
| Public debt: | note: official data from Ministry of Finance; data cover central government debt; this data exclude debt instruments issued (or owned) by government entities other than the treasury; include treasury debt held by foreign entitites; exclude debt issued by sub-national entities, as well as intra-governmental debt; there are no debt instruments sold for social funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.2% (2015 est.) |
| Inflation rate (consumer prices): | -0.1% (2014 est.) |
| Central bank discount rate: | 3.25% (31 December 2014) |
| Central bank discount rate: | 3.25% (31 December 2013) |
| Central bank discount rate: | note: series discontinued in January 2010; the discount rate has been replaced by a referent rate for calculating the penalty rate |
| Commercial bank prime lending rate: | 7.08% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 7.46% (31 December 2014 est.) |
| Stock of narrow money: | $1.797 billion (31 December 2015 est.) |
| Stock of narrow money: | $1.692 billion (31 December 2014 est.) |
| Stock of broad money: | $6.129 billion (31 December 2014 est.) |
| Stock of broad money: | $6.282 billion (31 December 2013 est.) |
| Stock of domestic credit: | $5.308 billion (31 December 2015 est.) |
| Stock of domestic credit: | $5.111 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $2.084 billion (31 December 2014) |
| Market value of publicly traded shares: | $2.302 billion (31 December 2013) |
| Market value of publicly traded shares: | $2.423 billion (31 December 2012) |
| Current account balance: | -$141 million (2015 est.) |
| Current account balance: | -$91 million (2014 est.) |
| Exports: | $3.372 billion (2015 est.) |
| Exports: | $3.682 billion (2014 est.) |
| Exports - commodities: | foodstuffs, beverages, tobacco; textiles, miscellaneous manufactures, iron, steel; automotive parts |
| Exports - partners: | Germany 33.2%, Kosovo 11.5%, Bulgaria 5.1%, Greece 4.5% (2015) |
| Imports: | $5.393 billion (2015 est.) |
| Imports: | $6.15 billion (2014 est.) |
| Imports - commodities: | machinery and equipment, automobiles, chemicals, fuels, food products |
| Imports - partners: | Germany 15.9%, UK 13.6%, Greece 10.9%, Serbia 8.7%, Bulgaria 6.7%, Turkey 5.5%, Italy 4.7% (2015) |
| Reserves of foreign exchange and gold: | $2.471 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $2.963 billion (31 December 2014 est.) |
| Debt - external: | $7.029 billion (31 December 2015 est.) |
| Debt - external: | $7.241 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $6.123 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $5.93 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $599.6 million (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $600.3 million (31 December 2014 est.) |
| Exchange rates: | Macedonian denars (MKD) per US dollar - |
| Exchange rates: | 55.537 (2015 est.) |
| Exchange rates: | 46.437 (2014 est.) |
| Exchange rates: | 46.437 (31 December 2013 est.) |
| Exchange rates: | 47.89 (2012 est.) |
| Exchange rates: | 44.231 (2011 est.) |
