| Economy | BOLIVIA |
| --- | --- |
| Economy - overview: | Bolivia is a resource rich country with strong growth attributed to captive markets for natural gas exports to Brazil and Argentina. However, the country remains one of the least developed countries in Latin America because of state-oriented policies that deter investment and growth. |
| Economy - overview: | Following a disastrous economic crisis during the early 1980s, reforms spurred private investment, stimulated economic growth, and cut poverty rates in the 1990s. The period 2003-05 was characterized by political instability, racial tensions, and violent protests against plans - subsequently abandoned - to export Bolivia's newly discovered natural gas reserves to large Northern Hemisphere markets. In 2005, the government passed a controversial hydrocarbons law that imposed significantly higher royalties and required foreign firms then operating under risk-sharing contracts to surrender all production to the state energy company in exchange for a predetermined service fee. High commodity prices between 2010 and 2014 sustained rapid growth and large trade surpluses with GDP growing 6.8% in 2013 and 5.4% in 2014. The global decline in oil prices that began in late 2014 exerted downward pressure on the price Bolivia receives for exported gas and resulted in lower GDP growth rates - 4.9% in 2015 and 4.3% in 2016 - and losses in government revenue as well as fiscal and trade deficits. |
| Economy - overview: | A lack of foreign investment in the key sectors of mining and hydrocarbons, along with conflict among social groups, pose challenges for the Bolivian economy. In 2015, President Evo MORALES expanded efforts to court international investment and boost Bolivia’s energy production capacity. MORALES passed an investment law and promised not to nationalize additional industries in an effort to improve the investment climate. In early 2016, the Government of Bolivia approved the 2016-20 National Economic and Social Development Plan aimed at maintaining growth of 5% and reducing poverty. |
| GDP (purchasing power parity): | $78.77 billion (2016 est.) |
| GDP (purchasing power parity): | $74.59 billion (2015 est.) |
| GDP (purchasing power parity): | $70.37 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $34.05 billion (2016 est.) |
| GDP - real growth rate: | 4.3% (2016 est.) |
| GDP - real growth rate: | 4.9% (2015 est.) |
| GDP - real growth rate: | 5.5% (2014 est.) |
| GDP - per capita (PPP): | $7,200 (2016 est.) |
| GDP - per capita (PPP): | $7,000 (2015 est.) |
| GDP - per capita (PPP): | $6,800 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 15.1% of GDP (2016 est.) |
| Gross national saving: | 14.2% of GDP (2015 est.) |
| Gross national saving: | 20.8% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 69.1% |
| GDP - composition, by end use: | government consumption: 17.5% |
| GDP - composition, by end use: | investment in fixed capital: 20.8% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 24.6% |
| GDP - composition, by end use: | imports of goods and services: -32% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 13.4% |
| GDP - composition, by sector of origin: | industry: 38.5% |
| GDP - composition, by sector of origin: | services: 53.8% (2016 est.) |
| Agriculture - products: | soybeans, quinoa, Brazil nuts, sugarcane, coffee, corn, rice, potatoes, chia, coca |
| Industries: | mining, smelting, petroleum, food and beverages, tobacco, handicrafts, clothing, jewelry |
| Industrial production growth rate: | 4% (2016 est.) |
| Labor force: | 4.992 million (2016 est.) |
| Labor force - by occupation: | agriculture: 29.4% |
| Labor force - by occupation: | industry: 22% |
| Labor force - by occupation: | services: 48.6% (2015 est.) |
| Unemployment rate: | 4% (2016 est.) |
| Unemployment rate: | 7.4% (2015 est.) |
| Unemployment rate: | note: data are for urban areas; widespread underemployment |
| Population below poverty line: | 38.6% |
| Population below poverty line: | note: based on percent of population living on less than the international standard of $2/day (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 0.9% |
| Household income or consumption by percentage share: | highest 10%: 36.1% (2014 est.) |
| Distribution of family income - Gini index: | 47 (2016 est.) |
| Distribution of family income - Gini index: | 57.9 (1999) |
| Budget: | revenues: $14.58 billion |
| Budget: | expenditures: $16.81 billion (2016 est.) |
| Taxes and other revenues: | 41.9% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -6.4% of GDP (2016 est.) |
| Public debt: | 44.8% of GDP (2016 est.) |
| Public debt: | 39.1% of GDP (2015 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.6% (2016 est.) |
| Inflation rate (consumer prices): | 4.1% (2015 est.) |
| Central bank discount rate: | 1.5% (31 December 2016 est.) |
| Central bank discount rate: | 2.5% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 7.95% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 8.07% (31 December 2015 est.) |
| Stock of narrow money: | $9.09 billion (31 December 2016 est.) |
| Stock of narrow money: | $8.946 billion (31 December 2015 est.) |
| Stock of broad money: | $14.85 billion (31 December 2016 est.) |
| Stock of broad money: | $15.45 billion (31 December 2015 est.) |
| Stock of domestic credit: | $22.39 billion (31 December 2016 est.) |
| Stock of domestic credit: | $18.9 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $12.3 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $11.11 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $9.833 billion (31 December 2014 est.) |
| Current account balance: | $-1.928 billion (2016 est.) |
| Current account balance: | $-1.879 billion (2015 est.) |
| Exports: | $7 billion (2016 est.) |
| Exports: | $8.673 billion (2015 est.) |
| Exports - commodities: | natural gas, silver, zinc, lead, tin, gold, quinoa, soybeans and soy products |
| Exports - partners: | Brazil 19.3%, US 13.6%, Argentina 11.4%, Colombia 8.8%, China 6.8%, Japan 5.9%, South Korea 5.4%, Peru 4.8%, Belgium 4.6% (2016) |
| Imports: | $7.888 billion (2016 est.) |
| Imports: | $9.004 billion (2015 est.) |
| Imports - commodities: | machinery, petroleum products, vehicles, iron and steel, plastics |
| Imports - partners: | China 19.9%, Brazil 17.5%, Argentina 10.5%, US 9.8%, Peru 6.9%, Japan 4.9%, Chile 4.1% (2016) |
| Reserves of foreign exchange and gold: | $10.08 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $13.06 billion (31 December 2015 est.) |
| Debt - external: | $11.65 billion (31 December 2016 est.) |
| Debt - external: | $9.849 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $1.059 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $1.084 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $0 (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $0 (31 December 2015 est.) |
| Exchange rates: | bolivianos (BOB) per US dollar - |
| Exchange rates: | 6.91 (2016 est.) |
| Exchange rates: | 6.91 (2015 est.) |
| Exchange rates: | 6.91 (2014 est.) |
| Exchange rates: | 6.91 (2013 est.) |
| Exchange rates: | 6.94 (2012 est.) |
