| Economy | NIGERIA |
| Inflation rate (consumer prices): | 9% (2015 est.) |
| Inflation rate (consumer prices): | 8.1% (2014 est.) |
| Central bank discount rate: | 4.25% (31 December 2010) |
| Central bank discount rate: | 6% (31 December 2009) |
| Commercial bank prime lending rate: | 16.85% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 16.55% (31 December 2014 est.) |
| Stock of narrow money: | $43.62 billion (31 December 2015 est.) |
| Stock of narrow money: | $36.85 billion (31 December 2014 est.) |
| Stock of broad money: | $89.5 billion (31 December 2015 est.) |
| Stock of broad money: | $111.5 billion (31 December 2014 est.) |
| Stock of domestic credit: | $111.7 billion (31 December 2015 est.) |
| Stock of domestic credit: | $115.8 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $56.39 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $39.27 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $50.88 billion (31 December 2013 est.) |
| Current account balance: | -$11.92 billion (2015 est.) |
| Current account balance: | $1.279 billion (2014 est.) |
| Exports: | $45.89 billion (2015 est.) |
| Exports: | $82.59 billion (2014 est.) |
| Exports - commodities: | petroleum and petroleum products 95%, cocoa, rubber (2012 est.) |
| Exports - partners: | India 18.2%, Netherlands 8.5%, Spain 8.2%, Brazil 8.2%, South Africa 7.8%, France 5.2%, Japan 4.5%, Cote dIvoire 4.2%, Ghana 4% (2015) |
| Imports: | $52.33 billion (2015 est.) |
| Imports: | $61.59 billion (2014 est.) |
| Imports - commodities: | machinery, chemicals, transport equipment, manufactured goods, food and live animals |
| Imports - partners: | China 25.7%, US 6.4%, Netherlands 6.1%, India 4.3% (2015) |
| Reserves of foreign exchange and gold: | $29.07 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $34.47 billion (31 December 2014 est.) |
| Debt - external: | $32.27 billion (31 December 2015 est.) |
| Debt - external: | $26.86 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $95.82 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $92.75 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $12.41 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $10.98 billion (31 December 2014 est.) |
| Exchange rates: | nairas (NGN) per US dollar - |
| Exchange rates: | 192.73 (2015 est.) |
| Exchange rates: | 158.55 (2014 est.) |
| Exchange rates: | 158.55 (2013 est.) |
| Exchange rates: | 156.81 (2012 est.) |
| Exchange rates: | 154.7 (2011 est.) |
