| Economy | NIGERIA |
| --- | --- |
| Economy - overview: | Following an April 2014 statistical "rebasing" exercise, Nigeria has emerged as Africa's largest economy, with 2015 GDP estimated at $1.1 trillion. Oil has been a dominant source of income and government revenues since the 1970s. Following the 2008-9 global financial crises, the banking sector was effectively recapitalized and regulation enhanced. Nigeria’s economic growth over the last five years has been driven by growth in agriculture, telecommunications, and services. Economic diversification and strong growth have not translated into a significant decline in poverty levels, however - over 62% of Nigeria's 170 million people still live in extreme poverty. |
| Economy - overview: | Despite its strong fundamentals, oil-rich Nigeria has been hobbled by inadequate power supply, lack of infrastructure, delays in the passage of legislative reforms, an inefficient property registration system, restrictive trade policies, an inconsistent regulatory environment, a slow and ineffective judicial system, unreliable dispute resolution mechanisms, insecurity, and pervasive corruption. Regulatory constraints and security risks have limited new investment in oil and natural gas, and Nigeria's oil production has contracted every year since 2012. |
| Economy - overview: | Because of lower oil prices, GDP growth in 2015 fell to around 3%, and government revenues declined, while the nonoil sector also contracted due to economic policy uncertainty. President BUHARI, elected in March 2015, has established a cabinet of economic ministers that includes several technocrats, and he has announced plans to increase transparency, diversify the economy away from oil, and improve fiscal management. The government is working to develop stronger public-private partnerships for roads, agriculture, and power. The medium-term outlook for Nigeria is positive, assuming oil output stabilizes and oil prices recover. |
| GDP (purchasing power parity): | $1.092 trillion (2015 est.) |
| GDP (purchasing power parity): | $1.063 trillion (2014 est.) |
| GDP (purchasing power parity): | $1 trillion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $490.2 billion (2015 est.) |
| GDP - real growth rate: | 2.7% (2015 est.) |
| GDP - real growth rate: | 6.3% (2014 est.) |
| GDP - real growth rate: | 5.4% (2013 est.) |
| GDP - per capita (PPP): | $6,100 (2015 est.) |
| GDP - per capita (PPP): | $6,100 (2014 est.) |
| GDP - per capita (PPP): | $5,900 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 12.4% of GDP (2015 est.) |
| Gross national saving: | 16% of GDP (2014 est.) |
| Gross national saving: | 18.6% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 78% |
| GDP - composition, by end use: | government consumption: 6.7% |
| GDP - composition, by end use: | investment in fixed capital: 14.8% |
| GDP - composition, by end use: | investment in inventories: 0.7% |
| GDP - composition, by end use: | exports of goods and services: 10.7% |
| GDP - composition, by end use: | imports of goods and services: -10.8% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 20.9% |
| GDP - composition, by sector of origin: | industry: 20.4% |
| GDP - composition, by sector of origin: | services: 58.8% (2015 est.) |
| Agriculture - products: | cocoa, peanuts, cotton, palm oil, corn, rice, sorghum, millet, cassava (manioc, tapioca), yams, rubber; cattle, sheep, goats, pigs; timber; fish |
| Industries: | crude oil, coal, tin, columbite; rubber products, wood; hides and skins, textiles, cement and other construction materials, food products, footwear, chemicals, fertilizer, printing, ceramics, steel |
| Industrial production growth rate: | -2.2% (2015 est.) |
| Labor force: | 57.27 million (2015 est.) |
| Labor force - by occupation: | agriculture: 70% |
| Labor force - by occupation: | industry: 10% |
| Labor force - by occupation: | services: 20% (1999 est.) |
| Unemployment rate: | 23.9% (2011 est.) |
| Unemployment rate: | 4.9% (2011 est.) |
| Population below poverty line: | 70% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.8% |
| Household income or consumption by percentage share: | highest 10%: 38.2% (2010 est.) |
| Distribution of family income - Gini index: | 43.7 (2003) |
| Distribution of family income - Gini index: | 50.6 (1997) |
| Budget: | revenues: $18.21 billion |
| Budget: | expenditures: $23.56 billion (2015 est.) |
| Taxes and other revenues: | 3.7% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -1.1% of GDP (2015 est.) |
| Public debt: | 11.5% of GDP (2015 est.) |
| Public debt: | 10.5% of GDP (2014 est.) |
| Fiscal year: | calendar year |
