| Economy | COSTA RICA |
| --- | --- |
| Economy - overview: | Prior to the global economic crisis, Costa Rica enjoyed stable economic growth. The economy contracted in 2009 but resumed growth at about 4% per year in 2010-15. While traditional agricultural exports of bananas, coffee, sugar, and beef are still the backbone of commodity export trade, a variety of industrial and specialized agricultural products have broadened export trade in recent years. High value-added goods and services, including medical devices, have further bolstered exports. Tourism continues to bring in foreign exchange, as Costa Rica's impressive biodiversity makes it a key destination for ecotourism. |
| Economy - overview: | Foreign investors remain attracted by the country's political stability and relatively high education levels, as well as the incentives offered in the free-trade zones; Costa Rica has attracted one of the highest levels of foreign direct investment per capita in Latin America. The US-Central American-Dominican Republic Free Trade Agreement (CAFTA-DR) entered into force on 1 January 2009 after significant delays within the Costa Rican legislature. CAFTA-DR has increased foreign direct investment in key sectors of the economy, including the insurance and telecommunications sectors. However, poor infrastructure, high energy costs, bureaucracy, weak investor protection, and legal uncertainty due to the difficulty of enforcing contracts and overlapping and at times conflicting responsibilities between agencies, remain impediments to greater competitiveness. |
| Economy - overview: | Costa Rica’s economy also faces challenges due to a rising fiscal deficit, rising public debt, and relatively low levels of domestic revenue. Poverty has remained around 20-25% for nearly 20 years, and the strong social safety net that had been put into place by the government has eroded due to increased financial constraints on government expenditures. Unlike the rest of Central America, Costa Rica is not highly dependent on remittances, which in 2014 represented 1% of GDP. Immigration from Nicaragua has increasingly become a concern for the government. The estimated 300,000-500,000 Nicaraguans in Costa Rica, legally and illegally, are an important source of mostly unskilled labor, but also place heavy demands on the social welfare system. |
| GDP (purchasing power parity): | $74.89 billion (2015 est.) |
| GDP (purchasing power parity): | $72.23 billion (2014 est.) |
| GDP (purchasing power parity): | $70.15 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $52.9 billion (2015 est.) |
| GDP - real growth rate: | 3.7% (2015 est.) |
| GDP - real growth rate: | 3% (2014 est.) |
| GDP - real growth rate: | 1.8% (2013 est.) |
| GDP - per capita (PPP): | $15,500 (2015 est.) |
| GDP - per capita (PPP): | $15,100 (2014 est.) |
| GDP - per capita (PPP): | $14,900 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 14.9% of GDP (2015 est.) |
| Gross national saving: | 14.1% of GDP (2014 est.) |
| Gross national saving: | 15% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 64.9% |
| GDP - composition, by end use: | government consumption: 18.1% |
| GDP - composition, by end use: | investment in fixed capital: 22.5% |
| GDP - composition, by end use: | investment in inventories: -3.5% |
| GDP - composition, by end use: | exports of goods and services: 30.9% |
| GDP - composition, by end use: | imports of goods and services: -32.9% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.6% |
| GDP - composition, by sector of origin: | industry: 19.2% |
| GDP - composition, by sector of origin: | services: 75.2% (2015 est.) |
| Agriculture - products: | bananas, pineapples, coffee, melons, ornamental plants, sugar, corn, rice, beans, potatoes; beef, poultry, dairy; timber |
| Industries: | medical equipment, food processing, textiles and clothing, construction materials, fertilizer, plastic products |
| Industrial production growth rate: | 1% (2015 est.) |
| Labor force: | 2.268 million |
| Labor force: | note: official estimate; excludes Nicaraguans living in Costa Rica (2015 est.) |
| Labor force - by occupation: | agriculture: 14% |
| Labor force - by occupation: | industry: 22% |
| Labor force - by occupation: | services: 64% (2006 est.) |
| Unemployment rate: | 9.4% (2015 est.) |
| Unemployment rate: | 9.6% (2014 est.) |
| Population below poverty line: | 24.8% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.2% |
| Household income or consumption by percentage share: | highest 10%: 39.5% (2009 est.) |
| Distribution of family income - Gini index: | 50.3 (2009) |
| Distribution of family income - Gini index: | 45.9 (1997) |
| Budget: | revenues: $7.813 billion |
| Budget: | expenditures: $10.93 billion (2015 est.) |
