| Economy | COSTA RICA |
| Taxes and other revenues: | 14.8% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -5.9% of GDP (2015 est.) |
| Public debt: | 60.2% of GDP (2015 est.) |
| Public debt: | 56.8% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.8% (2015 est.) |
| Inflation rate (consumer prices): | 4.5% (2014 est.) |
| Central bank discount rate: | 21.5% (31 December 2010) |
| Central bank discount rate: | 23% (31 December 2009) |
| Commercial bank prime lending rate: | 14.24% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 14.9% (31 December 2014 est.) |
| Stock of narrow money: | $5.273 billion (31 December 2015 est.) |
| Stock of narrow money: | $4.643 billion (31 December 2014 est.) |
| Stock of broad money: | $21.55 billion (31 December 2015 est.) |
| Stock of broad money: | $18 billion (31 December 2014 est.) |
| Stock of domestic credit: | $30.53 billion (31 December 2015 est.) |
| Stock of domestic credit: | $27.25 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $2.015 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.443 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.445 billion (31 December 2010 est.) |
| Current account balance: | -$2.135 billion (2015 est.) |
| Current account balance: | -$2.34 billion (2014 est.) |
| Exports: | $9.503 billion (2015 est.) |
| Exports: | $9.271 billion (2014 est.) |
| Exports - commodities: | bananas, pineapples, coffee, melons, ornamental plants, sugar; beef; seafood; electronic components, medical equipment |
| Exports - partners: | US 33.6%, China 6.2%, Mexico 4.6%, Nicaragua 4.3%, Netherlands 4.2%, Guatemala 4% (2015) |
| Imports: | $14.38 billion (2015 est.) |
| Imports: | $14.84 billion (2014 est.) |
| Imports - commodities: | raw materials, consumer goods, capital equipment, petroleum, construction materials |
| Imports - partners: | US 45.3%, China 9.8%, Mexico 7.1% (2015) |
| Reserves of foreign exchange and gold: | $7.834 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $7.211 billion (31 December 2014 est.) |
| Debt - external: | $23.18 billion (31 December 2015 est.) |
| Debt - external: | $20.97 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $28.75 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $25.66 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $3.154 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $2.768 billion (31 December 2014 est.) |
| Exchange rates: | Costa Rican colones (CRC) per US dollar - |
| Exchange rates: | 534.57 (2015 est.) |
| Exchange rates: | 538.32 (2014 est.) |
| Exchange rates: | 538.32 (2013 est.) |
| Exchange rates: | 502.9 (2012 est.) |
| Exchange rates: | 505.66 (2011 est.) |
