| Economy | PERU |
| GDP - composition, by sector of origin: | industry: 34.7% |
| GDP - composition, by sector of origin: | services: 57.7% (2016 est.) |
| Agriculture - products: | artichokes, asparagus, avocados, blueberries, coffee, cocoa, cotton, sugarcane, rice, potatoes, corn, plantains, grapes, oranges, pineapples, guavas, bananas, apples, lemons, pears, coca, tomatoes, mangoes, barley, medicinal plants, quinoa, palm oil, marigolds, onions, wheat, dry beans; poultry, beef, pork, dairy products; guinea pigs; fish |
| Industries: | mining and refining of minerals; steel, metal fabrication; petroleum extraction and refining, natural gas and natural gas liquefaction; fishing and fish processing, cement, glass, textiles, clothing, food processing, beer, soft drinks, rubber, machinery, electrical machinery, chemicals, furniture |
| Industrial production growth rate: | 9.6% (2016 est.) |
| Labor force: | 16.8 million |
| Labor force: | note: individuals older than 14 years of age (2016 est.) |
| Labor force - by occupation: | agriculture: 25.8% |
| Labor force - by occupation: | industry: 17.4% |
| Labor force - by occupation: | services: 56.8% (2011) |
| Unemployment rate: | 6.7% (2016 est.) |
| Unemployment rate: | 6.5% (2015 est.) |
| Unemployment rate: | note: data are for metropolitan Lima; widespread underemployment |
| Population below poverty line: | 22.7% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.4% |
| Household income or consumption by percentage share: | highest 10%: 36.1% (2010 est.) |
| Distribution of family income - Gini index: | 45.3 (2012) |
| Distribution of family income - Gini index: | 51 (2005) |
| Budget: | revenues: $52.44 billion |
| Budget: | expenditures: $57.48 billion (2016 est.) |
| Taxes and other revenues: | 26.9% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -2.6% of GDP (2016 est.) |
| Public debt: | 23.8% of GDP (2016 est.) |
| Public debt: | 23.3% of GDP (2015 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued by government entities other than the treasury; the data exclude treasury debt held by foreign entities; the data include debt issued by subnational entities |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.6% (2016 est.) |
| Inflation rate (consumer prices): | 3.5% (2015 est.) |
| Inflation rate (consumer prices): | note: data are for metropolitan Lima, annual average |
| Central bank discount rate: | 4.25% (31 December 2016 est.) |
| Central bank discount rate: | 5.05% (31 December 2012) |
| Commercial bank prime lending rate: | 16.47% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 16.1% (31 December 2015 est.) |
| Commercial bank prime lending rate: | note: domestic currency lending rate, 90 day maturity |
| Stock of narrow money: | $31.08 billion (31 December 2016 est.) |
| Stock of narrow money: | $29.59 billion (31 December 2015 est.) |
| Stock of broad money: | $84.84 billion (31 December 2016 est.) |
| Stock of broad money: | $74.02 billion (31 December 2015 est.) |
| Stock of domestic credit: | $52.8 billion (31 December 2016 est.) |
| Stock of domestic credit: | $49.47 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $56.56 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $78.84 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $80.98 billion (31 December 2013 est.) |
| Current account balance: | $-5.305 billion (2016 est.) |
| Current account balance: | $-9.169 billion (2015 est.) |
| Exports: | $37.02 billion (2016 est.) |
| Exports: | $34.41 billion (2015 est.) |
| Exports - commodities: | copper, gold, lead, zinc, tin, iron ore, molybdenum, silver; crude petroleum and petroleum products, natural gas; coffee, asparagus and other vegetables, fruit, apparel and textiles, fishmeal, fish, chemicals, fabricated metal products and machinery, alloys |
| Exports - partners: | China 23.5%, US 17.3%, Switzerland 7.1%, Canada 4.7% (2016) |
| Imports: | $35.13 billion (2016 est.) |
| Imports: | $37.33 billion (2015 est.) |
| Imports - commodities: | petroleum and petroleum products, chemicals, plastics, machinery, vehicles, TV sets, power shovels, front-end loaders, telephones and telecommunication equipment, iron and steel, wheat, corn, soybean products, paper, cotton, vaccines and medicines |
| Imports - partners: | China 22.8%, US 20.2%, Brazil 5.8%, Mexico 4.5% (2016) |
| Reserves of foreign exchange and gold: | $61.81 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $61.59 billion (31 December 2015 est.) |
| Debt - external: | $66.76 billion (31 December 2016 est.) |
| Debt - external: | $65.94 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $91.48 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $84.62 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $4.255 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $2.815 billion (31 December 2015 est.) |
| Exchange rates: | nuevo sol (PEN) per US dollar - |
| Exchange rates: | 3.3751 (2016 est.) |
| Exchange rates: | 3.3751 (2015 est.) |
| Exchange rates: | 3.185 (2014 est.) |
| Exchange rates: | 2.8383 (2013 est.) |
| Exchange rates: | 2.64 (2012 est.) |
