| Economy | PAPUA NEW GUINEA |
| Imports - commodities: | machinery and transport equipment, manufactured goods, food, fuels, chemicals |
| Imports - partners: | Australia 36%, China 14.9%, Singapore 8.5%, Malaysia 7.5% (2016) |
| Reserves of foreign exchange and gold: | $1.656 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $1.738 billion (31 December 2015 est.) |
| Debt - external: | $18.28 billion (31 December 2016 est.) |
| Debt - external: | $20.03 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | kina (PGK) per US dollar - |
| Exchange rates: | 3.133 (2016 est.) |
| Exchange rates: | 3.133 (2015 est.) |
| Exchange rates: | 2.7684 (2014 est.) |
| Exchange rates: | 2.4614 (2013 est.) |
| Exchange rates: | 2.08 (2012 est.) |
