| Economy | PAPUA NEW GUINEA |
| --- | --- |
| Economy - overview: | Papua New Guinea (PNG) is richly endowed with natural resources, but exploitation has been hampered by rugged terrain, land tenure issues, and the high cost of developing infrastructure. The economy has a small formal sector, focused mainly on the export of those natural resources, and an informal sector, employing the majority of the population. Agriculture provides a subsistence livelihood for 85% of the people. The global financial crisis had little impact because of continued foreign demand for PNG's commodities. |
| Economy - overview: | Mineral deposits, including copper, gold, and oil, account for nearly two-thirds of export earnings. Natural gas reserves amount to an estimated 155 billion cubic meters. Following construction of a $19 billion liquefied natural gas (LNG) project, PNG LNG, a consortium led by ExxonMobil, began exporting liquefied natural gas to Asian markets in May 2014. The project was delivered on time and only slightly above budget. The success of the project has encouraged other companies to look at similar LNG projects. French supermajor Total is expected to begin construction on the Papua LNG project by 2020. Due to lower global commodity prices, resource revenues of all types have fallen dramatically. PNG’s government has recently been forced to adjust spending levels downward. |
| Economy - overview: | Numerous challenges still face the government of Peter O'NEILL, including providing physical security for foreign investors, regaining investor confidence, restoring integrity to state institutions, promoting economic efficiency by privatizing moribund state institutions, and maintaining good relations with Australia, its former colonial ruler. Other socio-cultural challenges could upend the economy including chronic law and order and land tenure issues. |
| GDP (purchasing power parity): | $29.4 billion (2016 est.) |
| GDP (purchasing power parity): | $28.36 billion (2015 est.) |
| GDP (purchasing power parity): | $25.69 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $20.48 billion (2016 est.) |
| GDP - real growth rate: | 2.4% (2016 est.) |
| GDP - real growth rate: | 9.2% (2015 est.) |
| GDP - real growth rate: | 12.5% (2014 est.) |
| GDP - per capita (PPP): | $3,700 (2016 est.) |
| GDP - per capita (PPP): | $3,700 (2015 est.) |
| GDP - per capita (PPP): | $3,500 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 44.5% of GDP (2016 est.) |
| Gross national saving: | 39.8% of GDP (2015 est.) |
| Gross national saving: | 25.8% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 44.4% |
| GDP - composition, by end use: | government consumption: 20.2% |
| GDP - composition, by end use: | investment in fixed capital: 10.4% |
| GDP - composition, by end use: | investment in inventories: -0.4% |
| GDP - composition, by end use: | exports of goods and services: 48.1% |
| GDP - composition, by end use: | imports of goods and services: -22.7% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 21.5% |
| GDP - composition, by sector of origin: | industry: 42.8% |
| GDP - composition, by sector of origin: | services: 35.7% (2016 est.) |
| Agriculture - products: | coffee, cocoa, copra, palm kernels, tea, sugar, rubber, sweet potatoes, fruit, vegetables, vanilla; poultry, pork; shellfish |
| Industries: | copra crushing, palm oil processing, plywood production, wood chip production; mining (gold, silver, copper); crude oil and petroleum products; construction, tourism |
| Industrial production growth rate: | 1.7% (2016 est.) |
| Labor force: | 3.598 million (2016 est.) |
| Labor force - by occupation: | agriculture: 85% |
| Labor force - by occupation: | industry: NA% |
| Labor force - by occupation: | services: NA% (2005 est.) |
| Unemployment rate: | 2.5% (2016 est.) |
| Unemployment rate: | 2.5% (2015 est.) |
| Population below poverty line: | 37% (2002 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 40.5% (1996) |
| Distribution of family income - Gini index: | 50.9 (1996) |
| Budget: | revenues: $3.347 billion |
| Budget: | expenditures: $4.332 billion (2016 est.) |
| Taxes and other revenues: | 16.7% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -4.9% of GDP (2016 est.) |
| Public debt: | 39% of GDP (2016 est.) |
| Public debt: | 34.2% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6.7% (2016 est.) |
| Inflation rate (consumer prices): | 6% (2015 est.) |
| Central bank discount rate: | 14% (31 December 2010) |
| Central bank discount rate: | 6.92% (31 December 2009) |
| Commercial bank prime lending rate: | 8.38% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 8.73% (31 December 2015 est.) |
| Stock of narrow money: | $5.05 billion (31 December 2016 est.) |
| Stock of narrow money: | $4.936 billion (31 December 2015 est.) |
| Stock of broad money: | $7.061 billion (31 December 2016 est.) |
| Stock of broad money: | $6.723 billion (31 December 2015 est.) |
| Stock of domestic credit: | $7.223 billion (31 December 2016 est.) |
| Stock of domestic credit: | $6.118 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $10.71 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $8.999 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $9.742 billion (31 December 2010 est.) |
| Current account balance: | $4.119 billion (2016 est.) |
| Current account balance: | $5.326 billion (2015 est.) |
| Exports: | $9.224 billion (2016 est.) |
| Exports: | $9.58 billion (2015 est.) |
| Exports - commodities: | oil, gold, copper ore, logs, palm oil, coffee, cocoa, crayfish, prawns |
| Exports - partners: | Singapore 23.7%, Australia 22.9%, Japan 13.2%, China 11.9% (2016) |
| Imports: | $1.83 billion (2016 est.) |
| Imports: | $2.267 billion (2015 est.) |
